ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
AA,AA,2026-05-20,64.14,64.3,68.1273,60.4727,0.4791,0.119,True,BB_MID,47.7932,RSI_NEUTRAL,35.8861,41.3147,25.0287,KDJ_NEUTRAL,1.0248,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
AAL,AAL,2026-05-20,12.95,12.314,13.4749,11.1531,0.7739,0.1886,False,BB_UPPER_HALF,58.8143,RSI_NEUTRAL,42.9715,46.5043,35.9061,KDJ_NEUTRAL,1.168,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
AAPL,AAPL,2026-05-18,297.84,282.786,306.7543,258.8177,0.814,0.1695,False,BB_UPPER_HALF,71.3547,RSI_OVERHEAT,85.359,87.5549,80.9672,KDJ_HIGH_DEAD_CROSS,0.9234,20,0,0,30.0,TECH_TIMING_NEUTRAL,RSI_OVERHEAT;KDJ_HIGH_DEAD_CROSS,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,17.82,VIX_NORMAL
ABR,ABR,2026-05-20,5.78,7.1345,9.182,5.087,0.1692,0.574,False,BB_LOWER_HALF,27.2445,RSI_OVERSOLD,7.8789,11.9112,-0.1856,KDJ_EXTREME_OVERSOLD,1.0031,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
ACLS,ACLS,2026-05-18,146.24,148.3245,173.1304,123.5186,0.458,0.3345,False,BB_MID,54.3198,RSI_NEUTRAL,47.4754,63.4689,15.4884,KDJ_NEUTRAL,0.719,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,17.82,VIX_NORMAL
ACM,ACM,2026-05-18,71.49,79.488,90.1819,68.7941,0.126,0.2691,False,BB_LOWER_HALF,26.638,RSI_OVERSOLD,19.9267,22.596,14.5882,KDJ_NEUTRAL,1.5309,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,17.82,VIX_NORMAL
ACMR,ACMR,2026-05-18,63.25,56.603,67.6622,45.5438,0.8005,0.3908,False,BB_UPPER_HALF,65.8216,RSI_STRONG,74.8289,74.9681,74.5504,KDJ_HIGH_DEAD_CROSS,1.5598,10,0,4,44.0,TECH_TIMING_NEUTRAL,KDJ_HIGH_DEAD_CROSS,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,17.82,VIX_NORMAL
ADBE,ADBE,2026-05-20,253.37,247.4135,260.8726,233.9544,0.7213,0.1088,False,BB_UPPER_HALF,54.3882,RSI_NEUTRAL,61.6826,55.1764,74.6952,KDJ_NEUTRAL,1.1198,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
ADMA,ADMA,2026-05-20,8.56,9.4975,11.8824,7.1126,0.3035,0.5022,False,BB_LOWER_HALF,35.7521,RSI_WEAK,52.5807,39.0153,79.7114,KDJ_NEUTRAL,0.5079,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
ADSK,ADSK,2026-05-20,243.63,239.792,251.7359,227.8481,0.6607,0.0996,False,BB_UPPER_HALF,53.3466,RSI_NEUTRAL,56.7356,48.0476,74.1115,KDJ_NEUTRAL,0.9704,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-20,17.44,VIX_NORMAL
