signal_snapshot_id,ticker,snapshot_date,simulation_link_key,forward_tracker_link_key,best_available_match_method,best_match_confidence,matched_forward_source_path,matched_horizons,unmatched_reason,required_key_to_improve_match,recommended_resolution
V18_21B-2026-05-20-AA-A31348FB92CC,AA,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AAL-DBC19D4C5248,AAL,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AAPL-5613A530AF73,AAPL,2026-05-20,simulation|2026-05-20|AAPL,forward_tracker|2026-05-20|AAPL,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ABR-D8C2ECA2C3A3,ABR,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ACLS-45712EF7C798,ACLS,2026-05-20,,forward_tracker|2026-05-20|ACLS,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ACM-72785AD50410,ACM,2026-05-20,simulation|2026-05-20|ACM,forward_tracker|2026-05-20|ACM,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ACMR-D037B213F266,ACMR,2026-05-20,,forward_tracker|2026-05-20|ACMR,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ADBE-CB82AA2FAB52,ADBE,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ADMA-D6EC5EBD73A3,ADMA,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ADSK-8DF2B6E3EA27,ADSK,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AEHR-0734B067E793,AEHR,2026-05-20,simulation|2026-05-20|AEHR,forward_tracker|2026-05-20|AEHR,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AEIS-757436875728,AEIS,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AEVA-D751A6945F4F,AEVA,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AFRM-4C9760042FC5,AFRM,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AGX-3970A3E2E5F2,AGX,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-ALAB-D169EFF0EBDB,ALAB,2026-05-20,,forward_tracker|2026-05-20|ALAB,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ALM-0183CE7D3202,ALM,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AMAT-09675EEC2458,AMAT,2026-05-20,,forward_tracker|2026-05-20|AMAT,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AMC-0B3358A7744F,AMC,2026-05-20,,,none,UNMATCHED_OR_AMBIGUOUS,,,No usable local forward outcome matched this signal row.,ticker_and_signal_date_or_signal_snapshot_id,ADD_SIGNAL_DATE_TO_FORWARD_OUTCOMES
V18_21B-2026-05-20-AMD-1DAEBC9A2E24,AMD,2026-05-20,,forward_tracker|2026-05-20|AMD,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AMKR-7B6DCD487014,AMKR,2026-05-20,simulation|2026-05-20|AMKR,forward_tracker|2026-05-20|AMKR,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-AMZN-0F2A17E8FF4F,AMZN,2026-05-20,,forward_tracker|2026-05-20|AMZN,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
V18_21B-2026-05-20-ANET-90E719EDBE91,ANET,2026-05-20,simulation|2026-05-20|ANET,forward_tracker|2026-05-20|ANET,ticker_only,LOW_CONFIDENCE_MATCH,D:\us-tech-quant\outputs\v18\candidates\V18_CURRENT_RANKED_CANDIDATE_FORWARD_TRACKER.csv,1D,Ticker-only forward outcome match; date/link key absent or not aligned.,signal_snapshot_id_or_forward_tracker_link_key,ALREADY_MATCHED_LOW_CONFIDENCE
