ticker,last_success_date,last_success_timestamp,days_since_success,success_within_lookback,success_today,never_success,stale_overdue,continuation_eligible,priority_bucket,priority_rank,selected_for_next_refresh,reason
AMC,,,,False,False,True,False,True,01_NEVER_SUCCESS,1,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
APLD,,,,False,False,True,False,True,01_NEVER_SUCCESS,2,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
BLSH,,,,False,False,True,False,True,01_NEVER_SUCCESS,3,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
BW,,,,False,False,True,False,True,01_NEVER_SUCCESS,4,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
BYND,,,,False,False,True,False,True,01_NEVER_SUCCESS,5,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CAI,,,,False,False,True,False,True,01_NEVER_SUCCESS,6,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CDTX,,,,False,False,True,False,True,01_NEVER_SUCCESS,7,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CFLT,,,,False,False,True,False,True,01_NEVER_SUCCESS,8,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CHYM,,,,False,False,True,False,True,01_NEVER_SUCCESS,9,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
COG,,,,False,False,True,False,True,01_NEVER_SUCCESS,10,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
COGT,,,,False,False,True,False,True,01_NEVER_SUCCESS,11,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CRCL,,,,False,False,True,False,True,01_NEVER_SUCCESS,12,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
CVNA,,,,False,False,True,False,True,01_NEVER_SUCCESS,13,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
DBVT,,,,False,False,True,False,True,01_NEVER_SUCCESS,14,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
FCNCA,,,,False,False,True,False,True,01_NEVER_SUCCESS,15,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
FIGR,,,,False,False,True,False,True,01_NEVER_SUCCESS,16,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
GEMI,,,,False,False,True,False,True,01_NEVER_SUCCESS,17,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
HOOD,,,,False,False,True,False,True,01_NEVER_SUCCESS,18,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
HTZ,,,,False,False,True,False,True,01_NEVER_SUCCESS,19,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
INSM,,,,False,False,True,False,True,01_NEVER_SUCCESS,20,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
JBS,,,,False,False,True,False,True,01_NEVER_SUCCESS,21,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
JFROG,,,,False,False,True,False,True,01_NEVER_SUCCESS,22,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
KLAR,,,,False,False,True,False,True,01_NEVER_SUCCESS,23,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
LINE,,,,False,False,True,False,True,01_NEVER_SUCCESS,24,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
MNTN,,,,False,False,True,False,True,01_NEVER_SUCCESS,25,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
MPW,,,,False,False,True,False,True,01_NEVER_SUCCESS,26,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
NVAX,,,,False,False,True,False,True,01_NEVER_SUCCESS,27,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
PONY,,,,False,False,True,False,True,01_NEVER_SUCCESS,28,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
RDDT,,,,False,False,True,False,True,01_NEVER_SUCCESS,29,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
SOLS,,,,False,False,True,False,True,01_NEVER_SUCCESS,30,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
STUB,,,,False,False,True,False,True,01_NEVER_SUCCESS,31,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
TICKERS,,,,False,False,True,False,True,01_NEVER_SUCCESS,32,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
TLN,,,,False,False,True,False,True,01_NEVER_SUCCESS,33,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
UPST,,,,False,False,True,False,True,01_NEVER_SUCCESS,34,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
USFD,,,,False,False,True,False,True,01_NEVER_SUCCESS,35,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
V,,,,False,False,True,False,True,01_NEVER_SUCCESS,36,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
VECO,,,,False,False,True,False,True,01_NEVER_SUCCESS,37,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
VEEV,,,,False,False,True,False,True,01_NEVER_SUCCESS,38,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
VIAV,,,,False,False,True,False,True,01_NEVER_SUCCESS,39,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
VIST,,,,False,False,True,False,True,01_NEVER_SUCCESS,40,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
VMC,,,,False,False,True,False,True,01_NEVER_SUCCESS,41,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WAB,,,,False,False,True,False,True,01_NEVER_SUCCESS,42,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WDAY,,,,False,False,True,False,True,01_NEVER_SUCCESS,43,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WHR,,,,False,False,True,False,True,01_NEVER_SUCCESS,44,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WING,,,,False,False,True,False,True,01_NEVER_SUCCESS,45,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WLK,,,,False,False,True,False,True,01_NEVER_SUCCESS,46,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WOLF,,,,False,False,True,False,True,01_NEVER_SUCCESS,47,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WULF,,,,False,False,True,False,True,01_NEVER_SUCCESS,48,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
WVE,,,,False,False,True,False,True,01_NEVER_SUCCESS,49,True,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA
