"ticker","user_review_decision","manual_decision","review_status","restriction","reviewer_priority","max_manual_budget_tier","review_note","last_reviewed_at_jst","active_in_current_run","source_type","source_reentry_tier","source_budget_tier","current_execution_permission","event_risk_score","event_risk_band","price_usd","current_shares_to_buy","estimated_current_cost_jpy","required_before_buy","source_reason","updated_by_v16_20_at_jst"
"ZS","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"SNOW","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"NET","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"MDB","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"FLR","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"CRWV","BLOCK","BLOCK","REVIEW_BLOCKED","FREEZE_NEW_BUYS","NORMAL","PROBE_ONLY","","2026-05-10 18:51:08","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"BE","BLOCK","BLOCK","REVIEW_BLOCKED","FREEZE_NEW_BUYS","NORMAL","PROBE_ONLY","","2026-05-10 18:51:08","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"ARM","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"ANET","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
"ACM","WATCH","PENDING_REVIEW","WATCH_ONLY","HOLD_REVIEW_ONLY","NORMAL","PROBE_ONLY","V16.21 conservative first manual review pass: keep as watch/block while event lock remains active.","2026-05-10 21:52:52","FALSE","STALE_FROM_PREVIOUS_RUN","","","","","","","","","Ticker not found in current V16.18/V16.19 candidate output.","Preserved old manual decision, marked inactive.","2026-05-14 15:09:14"
