audit_category,check_name,status,value,expected_or_threshold,severity,audit_comment
recommendation_tier_file,row_count,PASS,252,252,CRITICAL,Current recommendation tier output must preserve the current candidate universe.
recommendation_tier_file,duplicate_tickers,PASS,0,0,CRITICAL,Duplicate recommendation tickers would make joins unsafe.
recommendation_tier_file,missing_recommendation_tier,PASS,0,0,CRITICAL,Every row needs a tier before any backtest grouping.
recommendation_tier_file,missing_recommendation_action,PASS,0,0,CRITICAL,Every row needs an operator action label.
recommendation_tier_file,unknown_primary_theme,PASS,0,0,CRITICAL,Unknown themes would contaminate tier/theme attribution.
recommendation_tier_file,tier_counts,PASS,CORE_CANDIDATE=6; WATCHLIST_STRONG=38; TACTICAL_ENTRY=24; OVERHEATED_WAIT=27; SPECULATIVE_SATELLITE=38; DEFENSIVE_HEDGE=13; ETF_OR_MACRO_EXPOSURE=2; DO_NOT_PRIORITIZE=104,non-empty controlled tiers,INFO,Current calibrated tier distribution.
ranked_candidates,row_count,PASS,252,252,CRITICAL,Ranked candidates are the current universe anchor.
ranked_candidates,duplicate_tickers,PASS,0,0,CRITICAL,Duplicate ranked tickers would invalidate set comparisons.
ranked_candidates,rank_column_present,PASS,TRUE,TRUE,CRITICAL,Rank is required for rank-bucket backtests.
ranked_candidates,composite_candidate_score_present,PASS,TRUE,TRUE,CRITICAL,Composite score is required for score-bucket tests.
ranked_candidates,score_numeric_parse_success,PASS,252,252,CRITICAL,All current candidate scores should parse numerically.
theme_classification,row_count,PASS,252,252,CRITICAL,Theme classification must cover the full current universe.
theme_classification,duplicate_tickers,PASS,0,0,CRITICAL,Duplicate theme rows would make theme joins ambiguous.
theme_classification,unknown_primary_theme_count,PASS,0,0,CRITICAL,R28A-R2 should have eliminated UNKNOWN themes.
theme_classification,missing_theme_rank_count,PASS,0,0,MEDIUM,Theme rank is useful for theme-relative backtests.
theme_classification,etf_macro_exposure_count,PASS,12,track separately,MEDIUM,ETF/macro instruments should be separated from single-stock conclusions.
technical_timing,file_present,PASS,TRUE,TRUE,MEDIUM,Technical timing is useful but missing timing should not mutate recommendations.
technical_timing,matched_ticker_count,PASS,252,252,MEDIUM,Timing coverage should match the recommendation universe.
technical_timing,technical_score_numeric_parse_success,PASS,252,252,MEDIUM,Technical scores should parse if timing is used in later tests.
technical_timing,overheat_penalty_numeric_parse_success,PASS,252,252,LOW,Overheat penalty is optional but should parse when present.
technical_timing,overheat_labels_available,PASS,TRUE,TRUE,LOW,Overheat labels help explain tier downgrades.
signal_freeze_ledger,file_present,PASS,TRUE,TRUE,HIGH,A freeze ledger is required for non-lookahead historical signal tests.
signal_freeze_ledger,latest_run_id,PASS,V18_25A_R21_20260523_022643,non-empty,HIGH,Latest freeze run selected by run_timestamp/signal_date.
signal_freeze_ledger,latest_signal_date,PASS,2026-05-23,non-empty,HIGH,Latest freeze signal date.
signal_freeze_ledger,latest_frozen_ticker_count,PASS,252,252,HIGH,Latest frozen ticker count should match current recommendations.
signal_freeze_ledger,latest_freeze_matches_current_recommendations,PASS,TRUE,TRUE,HIGH,Recommendation tiers join onto latest freeze for 252 tickers; current missing from freeze: 0.
signal_freeze_ledger,historical_signal_freeze_run_count,PASS,6,> 1,MEDIUM,Multiple frozen runs are needed for a limited historical signal-freeze backtest.
price_cache,candidate_price_coverage_count,PASS,252,>= 239,HIGH,Local price cache coverage for current recommendation tickers.
price_cache,latest_price_date_min,PASS,2026-05-14,non-empty,HIGH,Minimum latest available price date across covered tickers.
price_cache,latest_price_date_max,PASS,2026-05-22,non-empty,HIGH,Maximum latest available price date across covered tickers.
price_cache,forward_1d_fillable_count,WARN,0,252,MEDIUM,Ticker count with at least 1 price bars after latest signal date 2026-05-23.
price_cache,forward_3d_fillable_count,WARN,0,252,MEDIUM,Ticker count with at least 3 price bars after latest signal date 2026-05-23.
price_cache,forward_5d_fillable_count,WARN,0,252,MEDIUM,Ticker count with at least 5 price bars after latest signal date 2026-05-23.
price_cache,forward_10d_fillable_count,WARN,0,252,MEDIUM,Ticker count with at least 10 price bars after latest signal date 2026-05-23.
price_cache,forward_20d_fillable_count,WARN,0,252,MEDIUM,Ticker count with at least 20 price bars after latest signal date 2026-05-23.
historical_snapshots,historical_candidate_snapshot_count,WARN,0,> 0,MEDIUM,Historical candidate snapshots can support reconstruction if they are date-aligned.
historical_snapshots,historical_recommendation_tier_snapshot_count,WARN,0,> 0 for full tier backtest,HIGH,Full historical recommendation-tier tests need tier snapshots from each historical decision date.
survivorship_bias,survivorship_bias_risk,WARN,HIGH,LOW/MEDIUM,HIGH,Applying the current 252-name universe backward would introduce survivorship bias.
lookahead_bias,lookahead_bias_risk,WARN,HIGH,LOW/MEDIUM,HIGH,Current R28B recommendation tiers must not be projected onto historical freeze dates.
date_alignment,date_alignment_risk,WARN,HIGH,LOW/MEDIUM,HIGH,Latest freeze forward returns may not be fillable until future price bars exist.
etf_macro_contamination,etf_macro_contamination_risk,WARN,MEDIUM,LOW or separated reporting,MEDIUM,ETF/macro exposures should be excluded or separately bucketed in single-stock tests.
transaction_cost_model,transaction_cost_model_ready,WARN,FALSE,TRUE for implementation-quality return estimates,MEDIUM,Transaction-cost assumptions are needed before production-like performance claims.
r29b_scope_recommendation,recommended_scope,PASS,READY_FOR_LIMITED_HISTORICAL_SIGNAL_FREEZE_BACKTEST,at least limited non-lookahead scope,HIGH,Recommendation tiers are current-only; historical tier backtesting requires dated tier snapshots.
