horizon,bucket_type,bucket_name,observation_count,fillable_count,avg_forward_return,median_forward_return,win_rate,loss_rate,best_return,worst_return,standard_deviation,spread_vs_rest,spread_vs_lowest_bucket
1D,rank_bucket,TOP_10,60,0,,,,,,,,,
1D,rank_bucket,TOP_20,60,0,,,,,,,,,
1D,rank_bucket,TOP_30,50,0,,,,,,,,,
1D,rank_bucket,TOP_50,100,0,,,,,,,,,
1D,rank_bucket,TOP_100,250,0,,,,,,,,,
1D,rank_bucket,REST,602,0,,,,,,,,,
1D,score_bucket,score_quantile_1_highest,225,0,,,,,,,,,
1D,score_bucket,score_quantile_2,224,0,,,,,,,,,
1D,score_bucket,score_quantile_3,225,0,,,,,,,,,
1D,score_bucket,score_quantile_4,224,0,,,,,,,,,
1D,score_bucket,score_quantile_5_lowest,224,0,,,,,,,,,
3D,rank_bucket,TOP_10,60,0,,,,,,,,,
3D,rank_bucket,TOP_20,60,0,,,,,,,,,
3D,rank_bucket,TOP_30,50,0,,,,,,,,,
3D,rank_bucket,TOP_50,100,0,,,,,,,,,
3D,rank_bucket,TOP_100,250,0,,,,,,,,,
3D,rank_bucket,REST,602,0,,,,,,,,,
3D,score_bucket,score_quantile_1_highest,225,0,,,,,,,,,
3D,score_bucket,score_quantile_2,224,0,,,,,,,,,
3D,score_bucket,score_quantile_3,225,0,,,,,,,,,
3D,score_bucket,score_quantile_4,224,0,,,,,,,,,
3D,score_bucket,score_quantile_5_lowest,224,0,,,,,,,,,
5D,rank_bucket,TOP_10,60,0,,,,,,,,,
5D,rank_bucket,TOP_20,60,0,,,,,,,,,
5D,rank_bucket,TOP_30,50,0,,,,,,,,,
5D,rank_bucket,TOP_50,100,0,,,,,,,,,
5D,rank_bucket,TOP_100,250,0,,,,,,,,,
5D,rank_bucket,REST,602,0,,,,,,,,,
5D,score_bucket,score_quantile_1_highest,225,0,,,,,,,,,
5D,score_bucket,score_quantile_2,224,0,,,,,,,,,
5D,score_bucket,score_quantile_3,225,0,,,,,,,,,
5D,score_bucket,score_quantile_4,224,0,,,,,,,,,
5D,score_bucket,score_quantile_5_lowest,224,0,,,,,,,,,
10D,rank_bucket,TOP_10,60,0,,,,,,,,,
10D,rank_bucket,TOP_20,60,0,,,,,,,,,
10D,rank_bucket,TOP_30,50,0,,,,,,,,,
10D,rank_bucket,TOP_50,100,0,,,,,,,,,
10D,rank_bucket,TOP_100,250,0,,,,,,,,,
10D,rank_bucket,REST,602,0,,,,,,,,,
10D,score_bucket,score_quantile_1_highest,225,0,,,,,,,,,
10D,score_bucket,score_quantile_2,224,0,,,,,,,,,
10D,score_bucket,score_quantile_3,225,0,,,,,,,,,
10D,score_bucket,score_quantile_4,224,0,,,,,,,,,
10D,score_bucket,score_quantile_5_lowest,224,0,,,,,,,,,
20D,rank_bucket,TOP_10,60,0,,,,,,,,,
20D,rank_bucket,TOP_20,60,0,,,,,,,,,
20D,rank_bucket,TOP_30,50,0,,,,,,,,,
20D,rank_bucket,TOP_50,100,0,,,,,,,,,
20D,rank_bucket,TOP_100,250,0,,,,,,,,,
20D,rank_bucket,REST,602,0,,,,,,,,,
20D,score_bucket,score_quantile_1_highest,225,0,,,,,,,,,
20D,score_bucket,score_quantile_2,224,0,,,,,,,,,
20D,score_bucket,score_quantile_3,225,0,,,,,,,,,
20D,score_bucket,score_quantile_4,224,0,,,,,,,,,
20D,score_bucket,score_quantile_5_lowest,224,0,,,,,,,,,
