"latest_score_rank","ticker","old_rank","composite_candidate_score","latest_price_date","latest_close","previous_price_date","previous_close","one_day_change_pct","latest_price_source","latest_price_purity"
"26","POWL","26","47.876","2026-05-29","284.42","2026-05-28","288.9","-1.55","FORCE_YFINANCE_LATEST","TRUE"
"27","COHR","27","47.76","2026-05-29","361.47","2026-05-28","376.95","-4.11","FORCE_YFINANCE_LATEST","TRUE"
"28","BW","28","47.5212","2026-05-29","18.45","2026-05-28","19.18","-3.81","FORCE_YFINANCE_LATEST","TRUE"
"29","AVGO","29","47.38","2026-05-29","446.77","2026-05-28","426.58","4.73","FORCE_YFINANCE_LATEST","TRUE"
"30","ACM","30","47.068","2026-05-29","69.37","2026-05-28","70.87","-2.12","FORCE_YFINANCE_LATEST","TRUE"
"31","CAMT","31","47.0","2026-05-29","171.66","2026-05-28","174.78","-1.79","FORCE_YFINANCE_LATEST","TRUE"
"32","FORM","32","46.62","2026-05-29","124.59","2026-05-28","130.22","-4.32","FORCE_YFINANCE_LATEST","TRUE"
"33","PLUG","33","46.199608","2026-05-29","3.95","2026-05-28","4.12","-4.13","FORCE_YFINANCE_LATEST","TRUE"
"34","GLW","34","45.856","2026-05-29","181.16","2026-05-28","182.97","-0.99","FORCE_YFINANCE_LATEST","TRUE"
"35","AGX","35","45.623519","2026-05-29","667.02","2026-05-28","677.45","-1.54","FORCE_YFINANCE_LATEST","TRUE"
"36","MTZ","36","44.867568","2026-05-29","378.37","2026-05-28","383.33","-1.29","FORCE_YFINANCE_LATEST","TRUE"
"37","AMZN","37","44.448","2026-05-29","270.64","2026-05-28","274","-1.23","FORCE_YFINANCE_LATEST","TRUE"
"38","PWR","38","44.332","2026-05-29","711.73","2026-05-28","730.1","-2.52","FORCE_YFINANCE_LATEST","TRUE"
"39","WOLF","39","44.0","2026-05-29","59.28","2026-05-28","65.05","-8.87","FORCE_YFINANCE_LATEST","TRUE"
"40","TTMI","40","43.509206","2026-05-29","173.72","2026-05-28","187.79","-7.49","FORCE_YFINANCE_LATEST","TRUE"
"41","CSCO","41","43.308","2026-05-29","120.42","2026-05-28","118.64","1.5","FORCE_YFINANCE_LATEST","TRUE"
"42","MSFT","42","43.24","2026-05-29","450.24","2026-05-28","426.99","5.45","FORCE_YFINANCE_LATEST","TRUE"
"43","BE","43","42.808","2026-05-29","285","2026-05-28","290.01","-1.73","FORCE_YFINANCE_LATEST","TRUE"
"44","ANET","44","42.428","2026-05-29","159.47","2026-05-28","155.27","2.7","FORCE_YFINANCE_LATEST","TRUE"
"45","TWLO","45","41.763811","2026-05-29","190.64","2026-05-28","184.6","3.27","FORCE_YFINANCE_LATEST","TRUE"
"46","MTSI","46","41.672872","2026-05-29","364.64","2026-05-28","391.09","-6.76","FORCE_YFINANCE_LATEST","TRUE"
"47","MOH","47","41.449645","2026-05-29","173.6","2026-05-28","178.02","-2.48","FORCE_YFINANCE_LATEST","TRUE"
"48","HTZ","48","40.914843","2026-05-29","5.4","2026-05-28","5.49","-1.64","FORCE_YFINANCE_LATEST","TRUE"
"49","PUMP","49","40.669884","2026-05-29","15.26","2026-05-28","15.16","0.66","FORCE_YFINANCE_LATEST","TRUE"
"50","OLPX","50","40.593772","2026-05-29","2.04","2026-05-28","2.05","-0.49","FORCE_YFINANCE_LATEST","TRUE"
"51","ECL","51","40.524","2026-05-29","256","2026-05-28","260.25","-1.63","FORCE_YFINANCE_LATEST","TRUE"
"52","LBRT","52","40.458386","2026-05-29","29.26","2026-05-28","29.06","0.69","FORCE_YFINANCE_LATEST","TRUE"
"53","APLD","53","40.362536","2026-05-29","47.28","2026-05-28","49.65","-4.77","FORCE_YFINANCE_LATEST","TRUE"
"54","BITF","54","40.209321","2026-05-29","5.68","2026-05-28","5.615","1.16","FORCE_YFINANCE_LATEST","TRUE"
"55","EWY","55","40.1929","2026-05-29","205.83","2026-05-28","206.41","-0.28","FORCE_YFINANCE_LATEST","TRUE"
"56","INTC","56","40.192","2026-05-29","114.68","2026-05-28","120.89","-5.14","FORCE_YFINANCE_LATEST","TRUE"
"57","CRM","57","40.144","2026-05-29","191.1","2026-05-28","176.17","8.47","FORCE_YFINANCE_LATEST","TRUE"
"58","AEVA","58","40.096142","2026-05-29","28.18","2026-05-28","25.84","9.06","FORCE_YFINANCE_LATEST","TRUE"
"59","U","59","39.897302","2026-05-29","30.47","2026-05-28","29.94","1.77","FORCE_YFINANCE_LATEST","TRUE"
"60","ASML","60","39.76","2026-05-29","1612.76","2026-05-28","1605.77","0.44","FORCE_YFINANCE_LATEST","TRUE"
"61","SMTC","61","39.742207","2026-05-29","152.54","2026-05-28","166.33","-8.29","FORCE_YFINANCE_LATEST","TRUE"
"62","LYB","62","39.568476","2026-05-29","66.65","2026-05-28","68.35","-2.49","FORCE_YFINANCE_LATEST","TRUE"
"63","TSM","63","39.38","2026-05-29","418.45","2026-05-28","424.86","-1.51","FORCE_YFINANCE_LATEST","TRUE"
"64","SEI","64","39.144581","2026-05-29","69.54","2026-05-28","68.68","1.25","FORCE_YFINANCE_LATEST","TRUE"
"65","CLH","65","38.640282","2026-05-29","281.03","2026-05-28","280.71","0.11","FORCE_YFINANCE_LATEST","TRUE"
"66","SATS","66","38.622888","2026-05-29","129.19","2026-05-28","131.07","-1.43","FORCE_YFINANCE_LATEST","TRUE"
"67","CLS","67","38.62","2026-05-29","385.39","2026-05-28","351.02","9.79","FORCE_YFINANCE_LATEST","TRUE"
"68","HUM","68","38.48347","2026-05-29","305.42","2026-05-28","308.7","-1.06","FORCE_YFINANCE_LATEST","TRUE"
"69","RVMD","69","38.438059","2026-05-29","157.48","2026-05-28","154.63","1.84","FORCE_YFINANCE_LATEST","TRUE"
"70","XYZ","70","38.326374","2026-05-29","75.72","2026-05-28","74.35","1.84","FORCE_YFINANCE_LATEST","TRUE"
"71","VST","71","38.24","2026-05-29","160.23","2026-05-28","160.28","-0.03","FORCE_YFINANCE_LATEST","TRUE"
"72","WYFI","72","38.017887","2026-05-29","29.74","2026-05-28","32.18","-7.58","FORCE_YFINANCE_LATEST","TRUE"
"73","WULF","73","38.015944","2026-05-29","25.56","2026-05-28","26.4","-3.18","FORCE_YFINANCE_LATEST","TRUE"
"74","NVT","74","37.856","2026-05-29","166.99","2026-05-28","164.87","1.29","FORCE_YFINANCE_LATEST","TRUE"
"75","MOD","75","37.696","2026-05-29","278.91","2026-05-28","270.7","3.03","FORCE_YFINANCE_LATEST","TRUE"
"76","QSR","76","37.694858","2026-05-29","74.7","2026-05-28","74.31","0.52","FORCE_YFINANCE_LATEST","TRUE"
"77","AEIS","77","37.690303","2026-05-29","302.18","2026-05-28","317.08","-4.7","FORCE_YFINANCE_LATEST","TRUE"
"78","XENE","78","37.636994","2026-05-29","54.73","2026-05-28","54.79","-0.11","FORCE_YFINANCE_LATEST","TRUE"
"79","APH","79","37.476","2026-05-29","148.76","2026-05-28","147.68","0.73","FORCE_YFINANCE_LATEST","TRUE"
"80","TWST","80","37.448987","2026-05-29","66.87","2026-05-28","69.03","-3.13","FORCE_YFINANCE_LATEST","TRUE"
"81","GSG","81","37.13243","2026-05-29","31.8","2026-05-28","32.11","-0.97","FORCE_YFINANCE_LATEST","TRUE"
"82","EQIX","82","36.986178","2026-05-29","1068.04","2026-05-28","1069.4399","-0.13","FORCE_YFINANCE_LATEST","TRUE"
"83","SOXX","83","36.784","2026-05-29","569.08","2026-05-28","569.47","-0.07","FORCE_YFINANCE_LATEST","TRUE"
"84","RIOT","84","36.503542","2026-05-29","27.11","2026-05-28","27.74","-2.27","FORCE_YFINANCE_LATEST","TRUE"
"85","ROKU","85","36.42039","2026-05-29","130.18","2026-05-28","131.09","-0.69","FORCE_YFINANCE_LATEST","TRUE"
"86","UNH","86","36.332522","2026-05-29","380.31","2026-05-28","382.53","-0.58","FORCE_YFINANCE_LATEST","TRUE"
"87","CRCL","87","36.306363","2026-05-29","113","2026-05-28","108.24","4.4","FORCE_YFINANCE_LATEST","TRUE"
"88","NI","88","36.202758","2026-05-29","46.22","2026-05-28","46.77","-1.18","FORCE_YFINANCE_LATEST","TRUE"
"89","NFLX","89","36.130062","2026-05-29","86.02","2026-05-28","86.36","-0.39","FORCE_YFINANCE_LATEST","TRUE"
"90","PANW","90","36.072","2026-05-29","281.69","2026-05-28","257.77","9.28","FORCE_YFINANCE_LATEST","TRUE"
"91","VIST","91","36.042571","2026-05-29","74.2","2026-05-28","73.12","1.48","FORCE_YFINANCE_LATEST","TRUE"
"92","JCI","92","36.019782","2026-05-29","134.06","2026-05-28","136.15","-1.54","FORCE_YFINANCE_LATEST","TRUE"
"93","IGV","93","35.952","2026-05-29","101.66","2026-05-28","95.68","6.25","FORCE_YFINANCE_LATEST","TRUE"
"94","DBVT","94","35.851684","2026-05-29","19.1","2026-05-28","18.99","0.58","FORCE_YFINANCE_LATEST","TRUE"
"95","LSCC","95","35.814654","2026-05-29","147.08","2026-05-28","147.31","-0.16","FORCE_YFINANCE_LATEST","TRUE"
"96","XPO","96","35.726432","2026-05-29","214.25","2026-05-28","214.03","0.1","FORCE_YFINANCE_LATEST","TRUE"
"97","BLSH","97","35.676937","2026-05-29","34.91","2026-05-28","35.82","-2.54","FORCE_YFINANCE_LATEST","TRUE"
"98","WLK","98","35.644882","2026-05-29","86.83","2026-05-28","87.67","-0.96","FORCE_YFINANCE_LATEST","TRUE"
"99","AA","99","35.622948","2026-05-29","77.64","2026-05-28","75.58","2.73","FORCE_YFINANCE_LATEST","TRUE"
"100","SOLS","100","35.46783","2026-05-29","84.23","2026-05-28","84.57","-0.4","FORCE_YFINANCE_LATEST","TRUE"
"101","NTAP","101","35.416","2026-05-29","174.29","2026-05-28","142.4","22.39","FORCE_YFINANCE_LATEST","TRUE"
"102","EWZ","102","35.290541","2026-05-29","35.91","2026-05-28","36.11","-0.55","FORCE_YFINANCE_LATEST","TRUE"
"103","IBIT","103","35.270648","2026-05-29","41.63","2026-05-28","41.56","0.17","FORCE_YFINANCE_LATEST","TRUE"
"104","APG","104","35.030941","2026-05-29","41","2026-05-28","41.58","-1.39","FORCE_YFINANCE_LATEST","TRUE"
"105","GOOG","105","34.850946","2026-05-29","376.43","2026-05-28","386.12","-2.51","FORCE_YFINANCE_LATEST","TRUE"
"106","PTON","106","34.719287","2026-05-29","6.4","2026-05-28","6.04","5.96","FORCE_YFINANCE_LATEST","TRUE"
"107","PCT","107","34.600968","2026-05-29","12.39","2026-05-28","12.87","-3.73","FORCE_YFINANCE_LATEST","TRUE"
"108","IRDM","108","34.596","2026-05-29","51.78","2026-05-28","51.26","1.01","FORCE_YFINANCE_LATEST","TRUE"
"109","UPST","109","34.519048","2026-05-29","33.79","2026-05-28","32.69","3.36","FORCE_YFINANCE_LATEST","TRUE"
"110","BALL","110","34.354052","2026-05-29","54.67","2026-05-28","56.24","-2.79","FORCE_YFINANCE_LATEST","TRUE"
"111","CVNA","111","34.321612","2026-05-29","73","2026-05-28","73.49","-0.67","FORCE_YFINANCE_LATEST","TRUE"
"112","OC","112","34.24713","2026-05-29","125.82","2026-05-28","124.24","1.27","FORCE_YFINANCE_LATEST","TRUE"
"113","BYND","113","33.941802","2026-05-29","0.789","2026-05-28","0.82","-3.78","FORCE_YFINANCE_LATEST","TRUE"
"114","KKR","114","33.926012","2026-05-29","95.94","2026-05-28","94.03","2.03","FORCE_YFINANCE_LATEST","TRUE"
"115","RNG","115","33.77411","2026-05-29","43.31","2026-05-28","41.86","3.46","FORCE_YFINANCE_LATEST","TRUE"
"116","BKNG","116","33.747565","2026-05-29","167.43","2026-05-28","169.82","-1.41","FORCE_YFINANCE_LATEST","TRUE"
"117","JD","117","33.672735","2026-05-29","28.83","2026-05-28","29.14","-1.06","FORCE_YFINANCE_LATEST","TRUE"
"118","PTGX","118","33.581955","2026-05-29","99.56","2026-05-28","100.41","-0.85","FORCE_YFINANCE_LATEST","TRUE"
"119","CDNS","119","33.552233","2026-05-29","374.93","2026-05-28","373.85","0.29","FORCE_YFINANCE_LATEST","TRUE"
"120","USFD","120","33.54238","2026-05-29","81.85","2026-05-28","81.15","0.86","FORCE_YFINANCE_LATEST","TRUE"
"121","SFIX","121","33.536378","2026-05-29","3.56","2026-05-28","3.69","-3.52","FORCE_YFINANCE_LATEST","TRUE"
"122","WAB","122","33.445361","2026-05-29","261.16","2026-05-28","261.2","-0.02","FORCE_YFINANCE_LATEST","TRUE"
"123","TXN","123","33.404","2026-05-29","305.68","2026-05-28","315.95","-3.25","FORCE_YFINANCE_LATEST","TRUE"
"124","AFRM","124","33.369146","2026-05-29","73.65","2026-05-28","73","0.89","FORCE_YFINANCE_LATEST","TRUE"
"125","LYFT","125","33.327772","2026-05-29","14.11","2026-05-28","13.82","2.1","FORCE_YFINANCE_LATEST","TRUE"
"126","CNM","126","33.305342","2026-05-29","49.45","2026-05-28","49.17","0.57","FORCE_YFINANCE_LATEST","TRUE"
"127","CRS","127","33.247019","2026-05-29","468.98","2026-05-28","462.01","1.51","FORCE_YFINANCE_LATEST","TRUE"
"128","BIDU","128","33.226849","2026-05-29","135.31","2026-05-28","132.05","2.47","FORCE_YFINANCE_LATEST","TRUE"
"129","LPLA","129","33.215693","2026-05-29","273.77","2026-05-28","265.86","2.98","FORCE_YFINANCE_LATEST","TRUE"
"130","BLTE","130","33.017626","2026-05-29","144.18","2026-05-28","148","-2.58","FORCE_YFINANCE_LATEST","TRUE"
"131","SNPS","131","32.881778","2026-05-29","475.62","2026-05-28","480.64","-1.04","FORCE_YFINANCE_LATEST","TRUE"
"132","VMC","132","32.809491","2026-05-29","282.92","2026-05-28","276.75","2.23","FORCE_YFINANCE_LATEST","TRUE"
"133","PYPL","133","32.785338","2026-05-29","44.75","2026-05-28","44.46","0.65","FORCE_YFINANCE_LATEST","TRUE"
"134","SHW","134","32.689895","2026-05-29","303.84","2026-05-28","305.14","-0.43","FORCE_YFINANCE_LATEST","TRUE"
"135","CIEN","135","32.524","2026-05-29","580.23","2026-05-28","570.18","1.76","FORCE_YFINANCE_LATEST","TRUE"
"136","RDDT","136","32.457146","2026-05-29","176","2026-05-28","167.69","4.96","FORCE_YFINANCE_LATEST","TRUE"
"137","HIVE","137","32.427821","2026-05-29","4.52","2026-05-28","4.45","1.57","FORCE_YFINANCE_LATEST","TRUE"
"138","CLSK","138","32.392092","2026-05-29","18.29","2026-05-28","18.14","0.83","FORCE_YFINANCE_LATEST","TRUE"
"139","TEVA","139","32.389117","2026-05-29","35.32","2026-05-28","34.52","2.32","FORCE_YFINANCE_LATEST","TRUE"
"140","SFM","140","32.322369","2026-05-29","82.62","2026-05-28","86.69","-4.69","FORCE_YFINANCE_LATEST","TRUE"
"141","WWD","141","32.304956","2026-05-29","350.03","2026-05-28","354.96","-1.39","FORCE_YFINANCE_LATEST","TRUE"
"142","CRH","142","32.289218","2026-05-29","108.79","2026-05-28","106.76","1.9","FORCE_YFINANCE_LATEST","TRUE"
"143","UBER","143","32.166154","2026-05-29","70.4","2026-05-28","70.92","-0.73","FORCE_YFINANCE_LATEST","TRUE"
"144","PINS","144","32.146805","2026-05-29","20.05","2026-05-28","20.65","-2.91","FORCE_YFINANCE_LATEST","TRUE"
"145","EEM","145","32.093962","2026-05-29","68.6","2026-05-28","68.61","-0.01","FORCE_YFINANCE_LATEST","TRUE"
"146","FIGR","146","32.038065","2026-05-29","35.35","2026-05-28","34.73","1.79","FORCE_YFINANCE_LATEST","TRUE"
"147","JBS","147","31.998565","2026-05-29","12.47","2026-05-28","12.94","-3.63","FORCE_YFINANCE_LATEST","TRUE"
"148","VEEV","148","31.947966","2026-05-29","174.34","2026-05-28","164.38","6.06","FORCE_YFINANCE_LATEST","TRUE"
"149","FLS","149","31.882517","2026-05-29","75.51","2026-05-28","75.21","0.4","FORCE_YFINANCE_LATEST","TRUE"
"150","ET","150","31.83667","2026-05-29","19.17","2026-05-28","19.42","-1.29","FORCE_YFINANCE_LATEST","TRUE"
"151","NOW","151","31.808","2026-05-29","124.37","2026-05-28","108.73","14.38","FORCE_YFINANCE_LATEST","TRUE"
"152","BAC","152","31.795852","2026-05-29","51.6","2026-05-28","50.77","1.63","FORCE_YFINANCE_LATEST","TRUE"
"153","COGT","153","31.722303","2026-05-29","34.96","2026-05-28","35.38","-1.19","FORCE_YFINANCE_LATEST","TRUE"
"154","MCK","154","31.606672","2026-05-29","742.44","2026-05-28","756.98","-1.92","FORCE_YFINANCE_LATEST","TRUE"
"155","APO","155","31.602213","2026-05-29","128.71","2026-05-28","127.51","0.94","FORCE_YFINANCE_LATEST","TRUE"
"156","MRVL","156","31.5","2026-05-29","205","2026-05-28","204.83","0.08","FORCE_YFINANCE_LATEST","TRUE"
"157","IWM","157","31.455809","2026-05-29","290.43","2026-05-28","292.03","-0.55","FORCE_YFINANCE_LATEST","TRUE"
"158","LHX","158","31.418816","2026-05-29","315.18","2026-05-28","314.78","0.13","FORCE_YFINANCE_LATEST","TRUE"
"159","TSLA","159","31.38","2026-05-29","435.79","2026-05-28","442.1","-1.43","FORCE_YFINANCE_LATEST","TRUE"
"160","LIN","160","31.350254","2026-05-29","497.69","2026-05-28","501.98","-0.85","FORCE_YFINANCE_LATEST","TRUE"
"161","GRAB","161","31.31437","2026-05-29","3.54","2026-05-28","3.54","0","FORCE_YFINANCE_LATEST","TRUE"
"162","PCOR","162","31.292054","2026-05-29","49.49","2026-05-28","47.54","4.1","FORCE_YFINANCE_LATEST","TRUE"
"163","KVYO","163","31.273721","2026-05-29","15.84","2026-05-28","14.74","7.46","FORCE_YFINANCE_LATEST","TRUE"
"164","QS","164","31.180681","2026-05-29","8.98","2026-05-28","9.13","-1.64","FORCE_YFINANCE_LATEST","TRUE"
"165","CHPT","165","31.049428","2026-05-29","7.59","2026-05-28","7.8","-2.69","FORCE_YFINANCE_LATEST","TRUE"
"166","MPWR","166","31.0","2026-05-29","1566.21","2026-05-28","1633.17","-4.1","FORCE_YFINANCE_LATEST","TRUE"
"167","CHYM","167","30.93596","2026-05-29","18.6","2026-05-28","18.1","2.76","FORCE_YFINANCE_LATEST","TRUE"
"168","NU","168","30.926657","2026-05-29","13.13","2026-05-28","13.05","0.61","FORCE_YFINANCE_LATEST","TRUE"
"169","PI","169","30.652828","2026-05-29","151","2026-05-28","156.88","-3.75","FORCE_YFINANCE_LATEST","TRUE"
"170","GNRC","170","30.62","2026-05-29","277.91","2026-05-28","279.45","-0.55","FORCE_YFINANCE_LATEST","TRUE"
"171","CPNG","171","30.585258","2026-05-29","16.6","2026-05-28","16.2","2.47","FORCE_YFINANCE_LATEST","TRUE"
"172","NRG","172","30.585171","2026-05-29","134.08","2026-05-28","137.5","-2.49","FORCE_YFINANCE_LATEST","TRUE"
"173","ABR","173","30.45302","2026-05-29","5.75","2026-05-28","5.64","1.95","FORCE_YFINANCE_LATEST","TRUE"
"174","NVAX","174","30.43812","2026-05-29","10.97","2026-05-28","10.32","6.3","FORCE_YFINANCE_LATEST","TRUE"
"175","CAI","175","30.424312","2026-05-29","16.72","2026-05-28","16.67","0.3","FORCE_YFINANCE_LATEST","TRUE"
"176","CART","176","30.341315","2026-05-29","39.8","2026-05-28","39.94","-0.35","FORCE_YFINANCE_LATEST","TRUE"
"177","TTD","177","30.316083","2026-05-29","21.56","2026-05-28","21.15","1.94","FORCE_YFINANCE_LATEST","TRUE"
"178","KLIC","178","30.284","2026-05-29","101.89","2026-05-28","104.75","-2.73","FORCE_YFINANCE_LATEST","TRUE"
"179","NET","179","30.24","2026-05-29","241.82","2026-05-28","228.11","6.01","FORCE_YFINANCE_LATEST","TRUE"
"180","FWONK","180","30.151076","2026-05-29","90.79","2026-05-28","91.06","-0.3","FORCE_YFINANCE_LATEST","TRUE"
"181","YPF","181","30.133517","2026-05-29","53.01","2026-05-28","52","1.94","FORCE_YFINANCE_LATEST","TRUE"
"182","APP","182","30.097501","2026-05-29","613.09","2026-05-28","599.89","2.2","FORCE_YFINANCE_LATEST","TRUE"
"183","PDD","183","30.086842","2026-05-29","84.44","2026-05-28","83.03","1.7","FORCE_YFINANCE_LATEST","TRUE"
"184","DELL","184","30.032","2026-05-29","420.91","2026-05-28","317.05","32.76","FORCE_YFINANCE_LATEST","TRUE"
"185","PFGC","185","30.020483","2026-05-29","98.19","2026-05-28","97.21","1.01","FORCE_YFINANCE_LATEST","TRUE"
"186","ZG","186","30.005827","2026-05-29","35.36","2026-05-28","35.8","-1.23","FORCE_YFINANCE_LATEST","TRUE"
"187","CEG","187","29.856","2026-05-29","287.75","2026-05-28","286.31","0.5","FORCE_YFINANCE_LATEST","TRUE"
"188","FLUT","188","29.847202","2026-05-29","96.98","2026-05-28","95.58","1.46","FORCE_YFINANCE_LATEST","TRUE"
"189","RSP","189","29.841267","2026-05-29","208.83","2026-05-28","208.25","0.28","FORCE_YFINANCE_LATEST","TRUE"
"190","KRC","190","29.806166","2026-05-29","34.27","2026-05-28","34.36","-0.26","FORCE_YFINANCE_LATEST","TRUE"
"191","Z","191","29.761568","2026-05-29","35","2026-05-28","35.44","-1.24","FORCE_YFINANCE_LATEST","TRUE"
"192","FCNCA","192","29.737042","2026-05-29","1990.51","2026-05-28","2009.03","-0.92","FORCE_YFINANCE_LATEST","TRUE"
"193","HLT","193","29.719989","2026-05-29","327.66","2026-05-28","337.55","-2.93","FORCE_YFINANCE_LATEST","TRUE"
"194","KNX","194","29.692455","2026-05-29","75.63","2026-05-28","75.02","0.81","FORCE_YFINANCE_LATEST","TRUE"
"195","AMC","195","29.608772","2026-05-29","1.73","2026-05-28","1.58","9.49","FORCE_YFINANCE_LATEST","TRUE"
"196","V","196","29.501591","2026-05-29","326.36","2026-05-28","324.95","0.43","FORCE_YFINANCE_LATEST","TRUE"
"197","TIGR","197","29.475559","2026-05-29","5.14","2026-05-28","5.01","2.59","FORCE_YFINANCE_LATEST","TRUE"
"198","EQT","198","29.436562","2026-05-29","54.93","2026-05-28","55.35","-0.76","FORCE_YFINANCE_LATEST","TRUE"
"199","QQQ","199","29.356","2026-05-29","738.31","2026-05-28","735.6","0.37","FORCE_YFINANCE_LATEST","TRUE"
"200","BN","200","29.326632","2026-05-29","45.59","2026-05-28","46.08","-1.06","FORCE_YFINANCE_LATEST","TRUE"
"201","XLF","201","29.281688","2026-05-29","51.58","2026-05-28","51.27","0.6","FORCE_YFINANCE_LATEST","TRUE"
"202","DIS","202","29.247469","2026-05-29","101.83","2026-05-28","103.73","-1.83","FORCE_YFINANCE_LATEST","TRUE"
"203","AAPL","203","29.216","2026-05-29","312.06","2026-05-28","312.51","-0.14","FORCE_YFINANCE_LATEST","TRUE"
"204","SMH","204","29.192","2026-05-29","598.93","2026-05-28","599.83","-0.15","FORCE_YFINANCE_LATEST","TRUE"
"205","SCCO","205","29.16213","2026-05-29","191.3","2026-05-28","194.88","-1.84","FORCE_YFINANCE_LATEST","TRUE"
"206","PSTG","206","29.144","2026-05-29","79.51","2026-05-28","73.04","8.86","FORCE_YFINANCE_LATEST","TRUE"
"207","KWEB","207","29.134565","2026-05-29","26.73","2026-05-28","26.66","0.26","FORCE_YFINANCE_LATEST","TRUE"
"208","AAL","208","29.018088","2026-05-29","14.64","2026-05-28","14.65","-0.07","FORCE_YFINANCE_LATEST","TRUE"
"209","INSM","209","28.991239","2026-05-29","106.91","2026-05-28","108.37","-1.35","FORCE_YFINANCE_LATEST","TRUE"
"210","ARGT","210","28.956087","2026-05-29","97.7","2026-05-28","96.05","1.72","FORCE_YFINANCE_LATEST","TRUE"
"211","MPLX","211","28.873588","2026-05-29","54.65","2026-05-28","55.49","-1.51","FORCE_YFINANCE_LATEST","TRUE"
"212","TTWO","212","28.820733","2026-05-29","224.16","2026-05-28","217.87","2.89","FORCE_YFINANCE_LATEST","TRUE"
"213","NAMS","213","28.653411","2026-05-29","33.68","2026-05-28","35.42","-4.91","FORCE_YFINANCE_LATEST","TRUE"
"214","SCHW","214","28.545088","2026-05-29","87.35","2026-05-28","85.35","2.34","FORCE_YFINANCE_LATEST","TRUE"
"215","SHOP","215","28.523376","2026-05-29","118.71","2026-05-28","115.03","3.2","FORCE_YFINANCE_LATEST","TRUE"
"216","MA","216","28.518786","2026-05-29","493.98","2026-05-28","493.75","0.05","FORCE_YFINANCE_LATEST","TRUE"
"217","ADSK","217","28.378772","2026-05-29","231.31","2026-05-28","240.95","-4","FORCE_YFINANCE_LATEST","TRUE"
"218","GT","218","28.349778","2026-05-29","6.1","2026-05-28","6.2","-1.61","FORCE_YFINANCE_LATEST","TRUE"
