shadow_date,version,shadow_rank,ticker,shadow_score,shadow_factor_count,shadow_factor_ids,official_decision_impact,shadow_only,F002
2026-05-19,V18.3A,1,AEHR,3.259501140258808,1,F002,NONE,YES,3.259501140258808
2026-05-19,V18.3A,2,INTC,3.1617681490369174,1,F002,NONE,YES,3.1617681490369174
2026-05-19,V18.3A,3,SOXL,2.6270841138008474,1,F002,NONE,YES,2.6270841138008474
2026-05-19,V18.3A,4,MRVL,2.250110274049329,1,F002,NONE,YES,2.250110274049329
2026-05-19,V18.3A,5,AMD,2.185378006963184,1,F002,NONE,YES,2.185378006963184
2026-05-19,V18.3A,6,SNDK,2.0384794817486647,1,F002,NONE,YES,2.0384794817486647
2026-05-19,V18.3A,7,FLEX,1.8266470833112003,1,F002,NONE,YES,1.8266470833112003
2026-05-19,V18.3A,8,DELL,1.7639568244470551,1,F002,NONE,YES,1.7639568244470551
2026-05-19,V18.3A,9,IRDM,1.6303502277294042,1,F002,NONE,YES,1.6303502277294042
2026-05-19,V18.3A,10,VECO,1.6107178302258345,1,F002,NONE,YES,1.6107178302258345
2026-05-19,V18.3A,11,ACLS,1.4045554287882334,1,F002,NONE,YES,1.4045554287882334
2026-05-19,V18.3A,12,DDOG,1.3517014385523412,1,F002,NONE,YES,1.3517014385523412
2026-05-19,V18.3A,13,STX,1.3509385674202798,1,F002,NONE,YES,1.3509385674202798
2026-05-19,V18.3A,14,BE,1.205923555823594,1,F002,NONE,YES,1.205923555823594
2026-05-19,V18.3A,15,ARM,1.0929785075124252,1,F002,NONE,YES,1.0929785075124252
2026-05-19,V18.3A,16,BTDR,1.0292293445737608,1,F002,NONE,YES,1.0292293445737608
2026-05-19,V18.3A,17,PANW,0.9579533594389,1,F002,NONE,YES,0.9579533594389
2026-05-19,V18.3A,18,ALAB,0.9513449745196978,1,F002,NONE,YES,0.9513449745196978
2026-05-19,V18.3A,19,WDC,0.796987528817682,1,F002,NONE,YES,0.796987528817682
2026-05-19,V18.3A,20,CRWD,0.755623219716616,1,F002,NONE,YES,0.755623219716616
2026-05-19,V18.3A,21,MU,0.7555097197739835,1,F002,NONE,YES,0.7555097197739835
2026-05-19,V18.3A,22,ON,0.730318649674101,1,F002,NONE,YES,0.730318649674101
2026-05-19,V18.3A,23,CIEN,0.6815621532918367,1,F002,NONE,YES,0.6815621532918367
2026-05-19,V18.3A,24,HPE,0.6484935040469766,1,F002,NONE,YES,0.6484935040469766
2026-05-19,V18.3A,25,CSCO,0.5224671511425198,1,F002,NONE,YES,0.5224671511425198
2026-05-19,V18.3A,26,SANM,0.5172071019428879,1,F002,NONE,YES,0.5172071019428879
