design_step,step_name,purpose,required_inputs,output_file_if_applied_later,safety_gate,rollback_requirement,modifies_price_cache,external_data_required,recommended_apply_mode,notes
1,Validate ticker universe and priority plan,Confirm missing-history tickers and batch order.,R4 backfill universe and priority plan,validation report,Universe count reconciles to stable READ_FIRST.,Discard generated plan.,FALSE,FALSE,VALIDATION_ONLY,Design-only.
2,Validate existing local price coverage,Avoid duplicate or unnecessary backfill.,local source audits,coverage audit,No writes to price cache.,Discard audit.,FALSE,FALSE,LOCAL_AUDIT_ONLY,Read-only source check.
3,Build requested backfill batch,Select conservative batch of tickers.,priority batch plan,requested batch csv,Batch size capped and reviewed.,Discard requested batch.,FALSE,FALSE,DRYRUN_BATCH_PLAN,No external fetch now.
4,Fetch or import history only after explicit approval,Acquire OHLCV history for approved batch.,approved batch and provider/import source,staged raw history,Explicit approval required.,Delete staged files.,FALSE,TRUE,FUTURE_APPROVED_STAGE,Not performed in V18.21H.
5,Write to new staged price history output first,Keep production cache unchanged.,approved fetched/imported data,staged price history output,Never overwrite cache directly.,Delete staged output.,FALSE,TRUE,STAGED_OUTPUT_ONLY,Future step.
6,Validate OHLCV schema and date coverage,Ensure required columns and ranges exist.,staged history,schema/date validation,Validation fail count zero.,Discard staged history.,FALSE,FALSE,VALIDATION_ONLY,Future step.
7,Compare staged history vs existing local price sources,Detect conflicts or stale overlaps.,staged and existing local sources,comparison diff,No unexpected destructive diff.,Discard staged history.,FALSE,FALSE,DIFF_ONLY,Future step.
8,Recompute price-derived factors in shadow mode,Measure score-ready improvement.,staged history and factor script,shadow factor scores,Shadow output only.,Discard shadow output.,FALSE,FALSE,SHADOW_RECOMPUTE_ONLY,Future step.
9,Keep production price cache unchanged until explicit approval,Protect production cache.,validated staged output,production safety audit,Explicit approval for cache write.,Restore from backup/snapshot.,FALSE,FALSE,PRODUCTION_UNCHANGED,Mandatory gate.
10,Stable snapshot before any integration,Preserve evidence and plan.,all design artifacts,stable snapshot,Validation fail count zero.,Restore from snapshot.,FALSE,FALSE,SNAPSHOT_ONLY,Required before integration.
