signal,horizon_days,obs,avg_ret,median_ret,win_rate,avg_win,avg_loss
WATCH_POSITIVE,1,16770,0.003232,0.00245,0.538939,0.026956,-0.024499
WATCH_POSITIVE,3,16751,0.00895,0.006772,0.56325,0.046698,-0.039733
WATCH_POSITIVE,5,16734,0.012188,0.009061,0.572368,0.058733,-0.050111
WATCH_POSITIVE,10,16721,0.023047,0.01579,0.582142,0.086127,-0.064832
WATCH_POSITIVE,20,16712,0.039959,0.02256,0.580122,0.13237,-0.087721
PULLBACK_WATCH,1,20561,0.001277,0.001274,0.520549,0.023485,-0.022834
PULLBACK_WATCH,3,20556,0.005039,0.003429,0.531134,0.044481,-0.039641
PULLBACK_WATCH,5,20551,0.008817,0.006536,0.548878,0.05787,-0.050866
PULLBACK_WATCH,10,20531,0.01875,0.012007,0.558375,0.086702,-0.067167
PULLBACK_WATCH,20,20509,0.03684,0.020375,0.570871,0.13281,-0.090829
OVERHEAT_AVOID,1,8486,0.00102,0.000236,0.503771,0.021618,-0.019891
OVERHEAT_AVOID,3,8442,0.004763,0.002158,0.526534,0.039037,-0.033353
OVERHEAT_AVOID,5,8393,0.009536,0.004698,0.547361,0.052054,-0.041879
OVERHEAT_AVOID,10,8259,0.023077,0.013537,0.592808,0.07858,-0.057728
OVERHEAT_AVOID,20,8003,0.045017,0.02926,0.62789,0.121037,-0.083257
BB_SQUEEZE,1,28864,0.001229,0.000693,0.514794,0.021028,-0.019777
BB_SQUEEZE,3,28842,0.003659,0.002338,0.526177,0.038906,-0.035482
BB_SQUEEZE,5,28820,0.006052,0.003523,0.531749,0.051663,-0.045744
BB_SQUEEZE,10,28755,0.013331,0.006555,0.539767,0.077771,-0.062245
BB_SQUEEZE,20,28713,0.034932,0.018992,0.577508,0.121334,-0.083171
