date,strategy,topn,hold_days,gross_ret,net_ret,name_count
2020-09-21,TECH_SCORE_TOP5_H3,5,3,-0.024337807364748977,-0.02633780736474898,5
2020-09-22,TECH_SCORE_TOP5_H3,5,3,-0.0035744661171944305,-0.0055744661171944305,5
2020-09-23,TECH_SCORE_TOP5_H3,5,3,0.029495862107818828,0.027495862107818826,5
2020-09-24,TECH_SCORE_TOP5_H3,5,3,0.023237991244975786,0.021237991244975787,5
2020-09-25,TECH_SCORE_TOP5_H3,5,3,0.002658152942464809,0.0006581529424648088,5
2020-09-28,TECH_SCORE_TOP5_H3,5,3,0.03426886007039633,0.03226886007039633,5
2020-09-29,TECH_SCORE_TOP5_H3,5,3,0.015656458970374244,0.013656458970374244,5
2020-09-30,TECH_SCORE_TOP5_H3,5,3,0.03426403109117417,0.03226403109117417,5
2020-10-01,TECH_SCORE_TOP5_H3,5,3,-0.020405759168535487,-0.02240575916853549,5
2020-10-02,TECH_SCORE_TOP5_H3,5,3,0.02280427015734272,0.020804270157342722,5
2020-10-05,TECH_SCORE_TOP5_H3,5,3,0.007321601213047035,0.005321601213047035,5
2020-10-06,TECH_SCORE_TOP5_H3,5,3,0.056158694397055786,0.054158694397055784,5
2020-10-07,TECH_SCORE_TOP5_H3,5,3,0.050040034814792286,0.048040034814792285,5
2020-10-08,TECH_SCORE_TOP5_H3,5,3,0.04116276541649144,0.03916276541649144,5
2020-10-09,TECH_SCORE_TOP5_H3,5,3,0.024688514961886,0.022688514961886,5
2020-10-12,TECH_SCORE_TOP5_H3,5,3,0.0039129853372294795,0.0019129853372294794,5
2020-10-13,TECH_SCORE_TOP5_H3,5,3,-0.019787187611810152,-0.02178718761181015,5
2020-10-14,TECH_SCORE_TOP5_H3,5,3,-0.04942810261627193,-0.05142810261627193,5
2020-10-15,TECH_SCORE_TOP5_H3,5,3,-0.029548354578848524,-0.031548354578848525,5
2020-10-16,TECH_SCORE_TOP5_H3,5,3,-0.059566567117080194,-0.061566567117080195,5
2020-10-19,TECH_SCORE_TOP5_H3,5,3,-0.023067742181871374,-0.025067742181871376,5
2020-10-20,TECH_SCORE_TOP5_H3,5,3,-0.019192494657990177,-0.021192494657990175,5
2020-10-21,TECH_SCORE_TOP5_H3,5,3,-0.02709082091615178,-0.029090820916151783,5
2020-10-22,TECH_SCORE_TOP5_H3,5,3,-0.03420642720665903,-0.03620642720665903,5
2020-10-23,TECH_SCORE_TOP5_H3,5,3,-0.06134448951416227,-0.06334448951416227,5
2020-10-26,TECH_SCORE_TOP5_H3,5,3,-0.01265306667163273,-0.01465306667163273,5
2020-10-27,TECH_SCORE_TOP5_H3,5,3,-0.07449001529769969,-0.07649001529769969,5
2020-10-28,TECH_SCORE_TOP5_H3,5,3,0.025560000068488485,0.023560000068488483,5
2020-10-29,TECH_SCORE_TOP5_H3,5,3,0.037105118861824236,0.035105118861824235,5
2020-10-30,TECH_SCORE_TOP5_H3,5,3,0.028648724748627962,0.026648724748627964,5
2020-11-02,TECH_SCORE_TOP5_H3,5,3,0.05682399333624923,0.05482399333624923,5
2020-11-03,TECH_SCORE_TOP5_H3,5,3,0.050981842473127224,0.04898184247312722,5
2020-11-04,TECH_SCORE_TOP5_H3,5,3,0.06978261103368597,0.06778261103368596,5
2020-11-05,TECH_SCORE_TOP5_H3,5,3,0.02373704959447618,0.021737049594476178,5
2020-11-06,TECH_SCORE_TOP5_H3,5,3,0.061128239311279975,0.05912823931127997,5
2020-11-09,TECH_SCORE_TOP5_H3,5,3,0.038383000127329404,0.0363830001273294,5
2020-11-10,TECH_SCORE_TOP5_H3,5,3,0.04917380172448813,0.04717380172448813,5
2020-11-11,TECH_SCORE_TOP5_H3,5,3,0.005520709399225887,0.003520709399225887,5
2020-11-12,TECH_SCORE_TOP5_H3,5,3,0.010102492978241928,0.008102492978241928,5
2020-11-13,TECH_SCORE_TOP5_H3,5,3,0.04073518167061232,0.038735181670612316,5
2020-11-16,TECH_SCORE_TOP5_H3,5,3,0.05537369751508294,0.05337369751508294,5
2020-11-17,TECH_SCORE_TOP5_H3,5,3,0.029382586298779635,0.027382586298779633,5
2020-11-18,TECH_SCORE_TOP5_H3,5,3,0.009822167039176133,0.007822167039176132,5
2020-11-19,TECH_SCORE_TOP5_H3,5,3,-0.0018758641150762978,-0.003875864115076298,5
2020-11-20,TECH_SCORE_TOP5_H3,5,3,0.018804762625433957,0.016804762625433955,5
2020-11-23,TECH_SCORE_TOP5_H3,5,3,0.04145788307996838,0.03945788307996838,5
