sample_stage,stage_name,input_requirement,output_dataset_if_implemented_later,minimum_sample_required,current_available_sample_count,current_blocking_reason,design_status,notes
1,Collect historical signal snapshots,Archived signal snapshots with snapshot_date and signal_snapshot_id.,outputs/v18/backtest_research/future_unified_signal_panel.csv,>= 12 snapshot dates,325,Limited current snapshot history.,DESIGN_READY,Future implementation only; no backtest executed.
2,Align each signal with forward tracker link keys,signal_snapshot_id and forward_tracker_link_key.,future_signal_forward_key_panel.csv,>= 500 keyed rows,525,Shadow rows exist but returns pending.,DESIGN_READY,Future implementation only; no backtest executed.
3,Join price-derived factor fields,Price factor fields known at snapshot_date.,future_factor_join_panel.csv,>= 300 full-score rows,104,Full-history coverage incomplete.,DESIGN_READY_DEGRADED,Future implementation only; no backtest executed.
4,Join technical timing fields,technical_timing_score and timing labels.,future_timing_join_panel.csv,>= 300 rows,325,Must freeze timing at snapshot_date.,DESIGN_READY,Future implementation only; no backtest executed.
5,Join event risk fields,calendar and advisory event-risk fields.,future_event_join_panel.csv,>= 300 rows,325,Advisory-only coefficient not official.,DESIGN_READY,Future implementation only; no backtest executed.
6,Join market regime fields,market_regime_label and coefficients.,future_regime_join_panel.csv,>= 300 rows,325,Regime must be snapshot-dated.,DESIGN_READY,Future implementation only; no backtest executed.
7,Attach forward returns by horizon,Matured filled returns per horizon.,future_unified_backtest_dataset.csv,>= 100 per horizon,0,Forward returns are not filled.,BLOCKED,Future implementation only; no backtest executed.
8,Validate no lookahead leakage,Availability timestamps and frozen snapshots.,future_leakage_validation.csv,100% pass,0,Cannot run until dataset exists.,DESIGN_READY,Future implementation only; no backtest executed.
9,Construct factor buckets,Unified dataset with scores and returns.,future_factor_bucket_panel.csv,>= 5 buckets with >= 20 rows each,0,Requires filled returns.,BLOCKED,Future implementation only; no backtest executed.
10,Compute research metrics,Bucket panel with outcomes.,future_backtest_metrics.csv,>= 100 per horizon,0,Requires samples.,BLOCKED,Future implementation only; no backtest executed.
11,Produce non-production research report,Validated research metrics.,future_backtest_research_report.md,Validation pass,0,Research-only future step.,BLOCKED,Future implementation only; no backtest executed.
