portfolio_id,portfolio_name_cn,construction_method,readiness_status,actual_holding_count,weighting_method,weighting_fallback_used,candidate_universe_count,official_decision_impact,factor_weights_modified,forbidden_modified
TOP20_EQUAL_WEIGHT,Top20 等权篮子,TOP_N_EQUAL_WEIGHT,READY,20,EQUAL_WEIGHT,FALSE,318,NONE,FALSE,FALSE
TOP50_EQUAL_WEIGHT,Top50 等权篮子,TOP_N_EQUAL_WEIGHT,READY,50,EQUAL_WEIGHT,FALSE,318,NONE,FALSE,FALSE
TOP100_EQUAL_WEIGHT,Top100 等权篮子,TOP_N_EQUAL_WEIGHT,READY,100,EQUAL_WEIGHT,FALSE,318,NONE,FALSE,FALSE
FULL318_EQUAL_WEIGHT,全当前候选等权篮子,FULL_CURRENT_EQUAL_WEIGHT,READY,318,EQUAL_WEIGHT,FALSE,318,NONE,FALSE,FALSE
TOP20_SCORE_WEIGHTED,Top20 分数加权篮子,TOP_N_SCORE_WEIGHTED,READY,20,SCORE_WEIGHTED,FALSE,318,NONE,FALSE,FALSE
TOP50_SCORE_WEIGHTED,Top50 分数加权篮子,TOP_N_SCORE_WEIGHTED,READY,50,SCORE_WEIGHTED,FALSE,318,NONE,FALSE,FALSE
TOP100_SCORE_WEIGHTED,Top100 分数加权篮子,TOP_N_SCORE_WEIGHTED,READY,100,SCORE_WEIGHTED,FALSE,318,NONE,FALSE,FALSE
LOW_VOL_ADJUSTED_TOP50,低波动调整 Top50,LOW_VOL_ADJUSTED_TOP_N,READY,50,SCORE_X_RISK_PROXY,FALSE,318,NONE,FALSE,FALSE
MOTIF_READY_EQUAL_WEIGHT,Ready Motif 等权篮子,READY_MOTIF_EQUAL_WEIGHT,READY,18,EQUAL_WEIGHT,FALSE,318,NONE,FALSE,FALSE
MOTIF_READY_TOPN_BLEND,Ready Motif TopN 混合篮子,READY_MOTIF_TOPN_BLEND,READY,18,EQUAL_MOTIF_THEN_EQUAL_NAME,FALSE,318,NONE,FALSE,FALSE
