script_path,script_type,matched_terms,likely_role,proxy_requirement_detected,exact_reference_lines_or_short_snippets,confidence
D:\us-tech-quant\scripts\v18\run_v18_10A_R2_factor_daily_capture_patch.ps1,factor,benchmark;qqq,factor_wrapper_or_report,OPTIONAL_BENCHMARK_CONTEXT,"L7: [string]$DefaultBenchmark = ""QQQ"" | L16: Write-Host ""DEFAULT_BENCHMARK: $DefaultBenchmark"" | L45: ""--default-benchmark"", ""$DefaultBenchmark""",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_10D_official_daily_with_factor_weight_research.ps1,factor,regime;vix;vix_regime,factor_wrapper_or_report,OPTIONAL_BENCHMARK_CONTEXT,"L185: $VixRegime = Get-ReadFirstValue $OfficialReadFirst ""VIX_REGIME:"" | L229: [PSCustomObject]@{ key = ""VIX_REGIME""; value = $VixRegime }, | L283: ""VIX_REGIME:"", | L284: ""$VixRegime"",",MEDIUM
D:\us-tech-quant\scripts\v18\run_v18_18E_technical_timing_current_alias_externalization_audit.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L17: $Script = Join-Path $Root ""scripts\v18\v18_18E_technical_timing_current_alias_externalization_audit.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_18F_technical_timing_current_detail_slimming.ps1,technical,technical_timing,technical_wrapper_or_report,NONE,"L8: [string]$ArchiveRoot = ""archive/generated_outputs_compressed/technical_timing_backtest_current_details"" | L24: $Script = Join-Path $Root ""scripts\v18\v18_18F_technical_timing_current_detail_slimming.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21A_price_derived_factor_pack.ps1,factor,factor_pack,factor_wrapper_or_report,NONE,"L23: $Script = Join-Path $Root ""scripts\v18\v18_21A_price_derived_factor_pack.py""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_signal_snapshot_quality_patch.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21B_R1_stable_snapshot.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21B_signal_snapshot_research_linker.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21C_factor_effectiveness_read_center.ps1,technical,technical_timing,factor_wrapper_or_report,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
D:\us-tech-quant\scripts\v18\run_v18_21C_R1_sample_maturity_forward_match_patch.ps1,technical,technical_timing,path_or_report_consumer,NONE,"L19: Write-Host ""TECHNICAL_TIMING_MODIFIED: FALSE""",LOW
