input_path,exists,file_type,source_family,source_role,row_count,ticker_column_found,score_columns_found,status_columns_found,selected_for_ranking,exclusion_reason,note
configs/v16/universe/us_full_second_stage_generated.yaml,TRUE,yaml,other_audit,audit_only,20,tickers,,,FALSE,Universe config is stable and audit-only.,Second-stage alphabetic universe loaded as candidate set; not treated as a rank.
outputs/v17/price/v17_6E_screened_universe_latest_prices.csv,FALSE,csv,price_audit,audit_only,0,,,,FALSE,Price context not available.,Optional price input missing.
state/v17_6E_screened_universe_latest_price_snapshot.csv,TRUE,csv,other_audit,audit_only,105,ticker,,,FALSE,Price inputs are audit-only and not used for ranking.,Price context loaded.
outputs/v18/daily_integrated/V18_4A_R1_CURRENT_DAILY_INTEGRATED.md,TRUE,md,other_audit,audit_only,42,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/daily_integrated/V18_4B_R1_CURRENT_FINAL_DAILY.md,TRUE,md,other_audit,audit_only,55,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/daily_integrated/V18_CURRENT_DAILY_INTEGRATED.md,TRUE,md,other_audit,audit_only,42,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/daily_integrated/V18_CURRENT_FINAL_DAILY.md,TRUE,md,other_audit,audit_only,55,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/daily_integrated/V18_CURRENT_FINAL_DAILY_PROMOTION_MERGE.md,TRUE,md,other_audit,audit_only,57,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_audit/V18_4D_CURRENT_FACTOR_PACK_AUDIT.md,TRUE,md,other_audit,audit_only,82,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_audit/V18_4E_CURRENT_FACTOR_OUTPUT_FORWARD_AUDIT.md,TRUE,md,other_audit,audit_only,53,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_audit/V18_4F_CURRENT_FORWARD_FACTOR_COVERAGE.md,TRUE,md,other_audit,audit_only,38,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_pack/V18_3D_R2_CURRENT_FACTOR_PACK_OFFICIAL_OVERLAP.md,TRUE,md,other_audit,audit_only,41,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_pack/V18_3D_R2_CURRENT_FACTOR_PACK_TOP30.md,TRUE,md,other_audit,audit_only,36,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_pack/V18_CURRENT_FACTOR_PACK_OFFICIAL_OVERLAP.md,TRUE,md,other_audit,audit_only,41,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
outputs/v18/factor_pack/V18_CURRENT_FACTOR_PACK_TOP30.md,TRUE,md,other_audit,audit_only,36,,,,FALSE,Markdown audit output.,Markdown read-center output audited; not selected for ticker ranking.
