ticker,rank,composite_candidate_score,company_name,primary_theme,secondary_theme,role_bucket,manual_review_required,notes
BLTE,34,34.247077,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
TEVA,46,32.389117,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
COGT,53,31.722303,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
RSP,63,29.841267,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
INSM,71,28.991239,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
WVE,80,27.544222,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
PSIX,84,26.917594,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
RERE,91,24.683748,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
STG,95,22.577206,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
RBLX,96,22.031738,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
OLMA,98,20.556595,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
ARGT,112,-5.767693,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
APG,113,-6.092308,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
ALM,212,-100.800308,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
NAMS,247,-155.000923,,UNKNOWN,,,TRUE,Seeded by V18.28A without external data; manual classification required.
VIAV,1,51.800559,Viavi Solutions Inc.,DATA_INFRASTRUCTURE,Network test and optical technology,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SITM,2,51.403528,SiTime Corporation,SEMICONDUCTOR,Precision timing semiconductors,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TSEM,3,50.428133,Tower Semiconductor Ltd.,SEMICONDUCTOR,Specialty semiconductor foundry,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
STM,4,49.556907,STMicroelectronics N.V.,SEMICONDUCTOR,Auto and industrial semiconductors,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
BW,5,47.521200,Babcock & Wilcox Enterprises Inc.,POWER_INFRASTRUCTURE,Power and environmental equipment,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PLUG,6,46.199608,Plug Power Inc.,ENERGY,Hydrogen fuel cells,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TTMI,7,43.509206,TTM Technologies Inc.,ELECTRONICS_SUPPLY_CHAIN,Printed circuit boards,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TWLO,8,41.763811,Twilio Inc.,SOFTWARE,Cloud communications software,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
HTZ,9,40.914843,Hertz Global Holdings Inc.,TRANSPORTATION,Car rental,TACTICAL_BETA,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
PUMP,10,40.669884,ProPetro Holding Corp.,ENERGY,Oilfield services,TACTICAL_BETA,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
OLPX,11,40.593772,Olaplex Holdings Inc.,CONSUMER,Beauty products,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
APLD,12,40.362536,Applied Digital Corporation,AI_INFRASTRUCTURE,AI data centers,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
U,13,39.897302,Unity Software Inc.,SOFTWARE,Game engine and real-time 3D software,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SMTC,14,39.742207,Semtech Corporation,SEMICONDUCTOR,Analog and mixed-signal semiconductors,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SEI,15,39.144581,SolarEdge Technologies Inc.,ENERGY,Solar power electronics,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
SATS,16,38.622888,EchoStar Corporation,DATA_INFRASTRUCTURE,Satellite communications,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RVMD,17,38.438059,Revolution Medicines Inc.,HEALTHCARE,Oncology biotechnology,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XYZ,18,38.326374,Block Inc.,FINTECH,Payments and financial software,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WULF,19,38.015944,TeraWulf Inc.,CRYPTO_BETA,Bitcoin mining,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
QSR,20,37.694858,Restaurant Brands International Inc.,CONSUMER,Restaurants,NON_CORE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XENE,21,37.636994,Xenon Pharmaceuticals Inc.,HEALTHCARE,Neurology biotechnology,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
TWST,22,37.448987,Twist Bioscience Corporation,HEALTHCARE,Synthetic biology,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
RIOT,23,36.503542,Riot Platforms Inc.,CRYPTO_BETA,Bitcoin mining,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
ROKU,24,36.420390,Roku Inc.,INTERNET_PLATFORM,Streaming platform,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
UNH,25,36.332522,UnitedHealth Group Incorporated,HEALTHCARE,Managed care,DEFENSIVE_HEDGE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
VIST,26,36.042571,Vista Energy S.A.B. de C.V.,ENERGY,Oil and gas exploration,TACTICAL_BETA,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
DBVT,27,35.851684,DBV Technologies S.A.,HEALTHCARE,Biotechnology,SPECULATIVE_SATELLITE,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
XPO,28,35.726432,XPO Inc.,TRANSPORTATION,Freight transportation,CYCLICAL_GROWTH,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
WLK,29,35.644882,Westlake Corporation,INDUSTRIAL,Chemicals and building products,TACTICAL_BETA,FALSE,V18.28A-R1 high-confidence local ticker rulebook classification; no external fetch.
