bucket,position,ticker,current_top_position,full_top20_position,notes
ONLY_IN_CURRENT_TOP,2,BW,2,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,3,AEHR,3,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,4,INTC,4,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,6,FORM,6,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,9,WOLF,9,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,10,BE,10,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,11,POWL,11,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,12,ACLS,12,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,14,MTZ,14,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,15,VECO,15,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,16,PUMP,16,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,19,COHR,19,,Present in current top alias but absent from canonical full top20.
ONLY_IN_CURRENT_TOP,20,TTMI,20,,Present in current top alias but absent from canonical full top20.
ONLY_IN_FULL_TOP20,1,KEYS,,1,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,4,NVDA,,4,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,5,D,,5,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,7,GOOGL,,7,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,8,FIX,,8,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,9,MCHP,,9,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,12,CARR,,12,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,13,ENTG,,13,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,15,CRWV,,15,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,16,ETR,,16,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,18,COHU,,18,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,19,HUT,,19,Present in canonical full top20 but absent from current top alias.
ONLY_IN_FULL_TOP20,20,GEV,,20,Present in canonical full top20 but absent from current top alias.
