file_path,line_number,original_reference,classified_role,proposed_replacement,patch_recommended,patch_applied,reason,risk_level
outputs/v18/read_center/V18_35B_CANDIDATE_SOURCE_NORMALIZATION_REPORT.md,8,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_35B_CANDIDATE_SOURCE_NORMALIZATION_REPORT.md,12,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_35B_CANDIDATE_SOURCE_NORMALIZATION_REPORT.md,13,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_35B_CANDIDATE_SOURCE_NORMALIZATION_REPORT.md,28,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_35C_CANDIDATE_SOURCE_DEPENDENCY_REVIEW_REPORT.md,8,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_DEPENDENCY_REVIEW.md,8,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_NORMALIZATION.md,8,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_NORMALIZATION.md,12,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_NORMALIZATION.md,13,V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
outputs/v18/read_center/V18_CURRENT_CANDIDATE_SOURCE_NORMALIZATION.md,28,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,TEXT_ONLY_REPORT_REFERENCE,,FALSE,FALSE,generated/read-center report text reference,LOW
scripts/v18/v18_14C_R1_stable_snapshot.py,42,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_14C_R1_stable_snapshot.py,466,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_14C_ranked_candidate_forward_tracker.py,215,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_14C_ranked_candidate_forward_tracker.py,372,V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_14C_ranked_candidate_forward_tracker.py,375,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_14D_R1_stable_snapshot.py,49,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_14D_R1_stable_snapshot.py,484,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_15A_manual_position_trade_feedback.py,287,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_15A_R1_stable_snapshot.py,44,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_15B_R1_stable_snapshot.py,49,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_15B_R1_stable_snapshot.py,442,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,historical/promotion/generation script context needs manual review,MEDIUM
scripts/v18/v18_15C_predevelopment_program_audit.py,43,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_15C_predevelopment_program_audit.py,440,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_15C_predevelopment_program_audit.py,579,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_15C_predevelopment_program_audit.py,729,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_16A_universe_rolling_state_builder.py,80,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_16A_universe_rolling_state_builder.py,498,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_16J_conservative_daily_threshold_patch.py,155,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_17A_ranking_factor_provenance_audit.py,243,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_19A_daily_readability_refactor.py,232,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_21A_R4_advisory_full_history_backfill_plan.py,149,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_25A_R21_daily_signal_freeze_forward_test_ledger.py,35,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_25A_R22_rolling_multi_run_continuation_scheduler.py,27,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
scripts/v18/v18_25A_R24_factor_technical_tier_refresh_readiness_audit.py,30,outputs/v18/candidates/V18_CURRENT_RANKED_CANDIDATES.csv,UNKNOWN_SCRIPT_REFERENCE,,FALSE,FALSE,script reference could not be confidently classified,MEDIUM
