"SourceRel","SourceZone","Line","Family","Action","DeletePermission","ReferenceText"
"scripts\run_v16_11_full_universe_intake.py","LEGACY_V16_ROOT_SCRIPT","494","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11_full_universe_intake.py","LEGACY_V16_ROOT_SCRIPT","495","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11_full_universe_intake.py","LEGACY_V16_ROOT_SCRIPT","496","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11_full_universe_intake.py","LEGACY_V16_ROOT_SCRIPT","497","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11b_second_stage_screen.py","LEGACY_V16_ROOT_SCRIPT","272","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11b_second_stage_screen.py","LEGACY_V16_ROOT_SCRIPT","273","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11b_second_stage_screen.py","LEGACY_V16_ROOT_SCRIPT","274","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11c_full_candidate_review.py","LEGACY_V16_ROOT_SCRIPT","266","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11c_full_candidate_review.py","LEGACY_V16_ROOT_SCRIPT","267","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
"scripts\run_v16_11d_full_candidate_event_workflow.py","LEGACY_V16_ROOT_SCRIPT","233","V16_ROOT_SCRIPT","LEGACY_ROOT_SCRIPT_CANDIDATE_AFTER_RUNTIME_AUDIT","MAYBE_AFTER_ZERO_RUNTIME_HIT","outputs\\v16"
