motif_id,motif_name_cn,motif_name_en,description_cn,lean_inspiration_cn,required_factors,optional_factors,supporting_factors,missing_factors,evidence_status,research_readiness,official_decision_impact,auto_trade,auto_sell
VALUE_MOMENTUM,价值动量,Value + Momentum,寻找已有动量证据支持、但仍需要估值因子确认的候选。,借鉴 LEAN 示例中常见的基本面筛选叠加价格动量框架，只抽象研究主题，不复用代码逻辑。,VAL001;F003;F005,F001;VOL001,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,VAL001:Valuation / Growth Match:MISSING,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED
QUALITY_MOMENTUM,质量动量,Quality + Momentum,寻找已有动量证据支持、但仍需要质量因子确认的候选。,借鉴质量筛选加趋势确认的策略设计母题，只映射到 V18 现有证据。,Q001;F003;F005,Q002;Q003;Q004;Q005;Q006;F001;VOL001,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT;FIELD:ret_60d:CURRENT_OUTPUT;FIELD:ret_120d:CURRENT_OUTPUT,Q001:QMJ:REPORT_ONLY,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED
LOW_VOL_MOMENTUM,低波动动量,Low Volatility + Momentum,优先观察动量仍在、且波动惩罚较低或技术风险较低的候选。,借鉴风险调整趋势策略的母题，用现有波动/过热代理证据做影子观察。,F003;F005;T005;V003,V001;V002;V004,F003:factor_pack_score:REAL_IMPLEMENTED;F005:composite_candidate_score:REAL_IMPLEMENTED;T005:overheat_penalty:REAL_IMPLEMENTED;V003:Volatility Expansion / Compression:PROXY_IMPLEMENTED;V001:20D Realized Volatility:SHADOW_ONLY;V002:60D Realized Volatility:SHADOW_ONLY;V004:Return / Volatility Ratio:SHADOW_ONLY;FIELD:volatility_penalty:CURRENT_OUTPUT;FIELD:overheat_penalty:CURRENT_OUTPUT;FIELD:F011_TS_MOMENTUM_60_120:CURRENT_OUTPUT,NONE,PROXY_RESEARCH_ONLY,PROXY_ONLY,NONE,DISABLED,DISABLED
BREAKOUT_CONTINUATION,突破延续,Breakout Continuation,观察布林、成交量、价格确认共同支持的突破延续候选。,借鉴技术突破策略的设计母题，只使用 V18 已计算的技术计时和成交量确认字段。,T001;T004;VOL001;VOL003,F011;V003,T001:Bollinger Bands / BB:REAL_IMPLEMENTED;T004:technical_timing_score:REAL_IMPLEMENTED;VOL001:Volume Surge:REAL_IMPLEMENTED;VOL003:Breakout Volume Confirmation:REAL_IMPLEMENTED;V003:Volatility Expansion / Compression:PROXY_IMPLEMENTED;FIELD:breakout_confirmation_bonus:CURRENT_OUTPUT;FIELD:F009_VOLUME_PRICE_CONFIRM:CURRENT_OUTPUT;FIELD:volume_ratio_5_20:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
MEAN_REVERSION_CANDIDATE,均值回归候选,Mean Reversion Candidate,观察短期回撤、布林下半区或下轨附近但中期趋势仍可接受的候选。,借鉴回撤/均值回归策略母题，当前仅作为等待观察组。,T001;T004;F001,VOL004,T001:Bollinger Bands / BB:REAL_IMPLEMENTED;T004:technical_timing_score:REAL_IMPLEMENTED;F001:WorldQuant / Factor Pack:REAL_IMPLEMENTED;VOL004:Dry-Up Pullback:REPORT_ONLY;FIELD:F006_SHORT_REV_5D:CURRENT_OUTPUT;FIELD:F007_PULLBACK_IN_UPTREND:CURRENT_OUTPUT;FIELD:F012_TS_PULLBACK_REVERSAL:CURRENT_OUTPUT;FIELD:pullback_status:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
TECHNICAL_OVERHEAT_AVOIDANCE,技术过热回避,Technical Overheat Avoidance,观察综合排名靠前且未出现明显过热惩罚或技术警告的候选。,借鉴趋势策略中的过热过滤母题，只生成研究提示，不改变买卖判断。,T002;T003;T005;T004,OPT002;OPT003;OPT004,T002:RSI:REAL_IMPLEMENTED;T003:KDJ:REAL_IMPLEMENTED;T005:overheat_penalty:REAL_IMPLEMENTED;T004:technical_timing_score:REAL_IMPLEMENTED;OPT002:Gamma Exposure / GEX:PROXY_IMPLEMENTED;OPT003:Call / Put Ratio:PROXY_IMPLEMENTED;OPT004:IV Rank / IV Percentile:PROXY_IMPLEMENTED;FIELD:overheat_penalty:CURRENT_OUTPUT;FIELD:technical_warning_label:CURRENT_OUTPUT;FIELD:rsi_14:CURRENT_OUTPUT;FIELD:kdj_status:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
RISK_ADJUSTED_TOP_RANK,风险调整高排名,Risk Adjusted Top Rank,从当前官方候选中观察综合分靠前、技术风险相对温和的研究组。,借鉴风险调整排序母题，但不重算官方排名、不改权重。,F005;T004;T005,V001;V002;V004,F005:composite_candidate_score:REAL_IMPLEMENTED;T004:technical_timing_score:REAL_IMPLEMENTED;T005:overheat_penalty:REAL_IMPLEMENTED;V001:20D Realized Volatility:SHADOW_ONLY;V002:60D Realized Volatility:SHADOW_ONLY;V004:Return / Volatility Ratio:SHADOW_ONLY;FIELD:composite_candidate_score:CURRENT_OUTPUT;FIELD:technical_timing_score:CURRENT_OUTPUT;FIELD:overheat_penalty:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
SECTOR_BALANCED_TOP_RANK,行业均衡高排名,Sector Balanced Top Rank,理论上应按行业控制集中度，但当前候选文件没有可靠行业字段。,借鉴组合构建中的行业均衡母题；本步骤只标记缺口。,F005;SECTOR001,NONE,F005:composite_candidate_score:REAL_IMPLEMENTED;FIELD:composite_candidate_score:CURRENT_OUTPUT,SECTOR001:SECTOR001:NOT_IN_STRICT_AUDIT,MISSING_REQUIRED_FACTOR,NOT_READY,NONE,DISABLED,DISABLED
EQUAL_WEIGHT_TOP_N_BASELINE,等权 Top N 基线,Equal Weight Top N Baseline,以当前候选排名前 N 作为等权观察基线；不生成订单、不改仓位。,借鉴组合基线对照思想，仅用于研究观察。,F005,NONE,F005:composite_candidate_score:REAL_IMPLEMENTED;FIELD:rank:CURRENT_OUTPUT;FIELD:composite_candidate_score:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
SCORE_WEIGHTED_TOP_N_BASELINE,分数加权 Top N 基线,Score Weighted Top N Baseline,以当前候选综合分前 N 作为分数加权观察基线；不改变任何官方权重。,借鉴分数加权组合基线思想，只保留研究解释。,F005,F003;T004,F005:composite_candidate_score:REAL_IMPLEMENTED;F003:factor_pack_score:REAL_IMPLEMENTED;T004:technical_timing_score:REAL_IMPLEMENTED;FIELD:rank:CURRENT_OUTPUT;FIELD:composite_candidate_score:CURRENT_OUTPUT,NONE,READY_REAL_EVIDENCE,READY_FOR_PAPER_OBSERVATION,NONE,DISABLED,DISABLED
