"SourcePath","SourceRel","SourceZone","Line","Family","Action","Risk","DeletePermission","DecouplingTarget","ReferenceText"
"scripts\run_v16_11_full_universe_intake.py","scripts\run_v16_11_full_universe_intake.py","UNKNOWN","494","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_RAW.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","scripts\run_v16_11_full_universe_intake.py","UNKNOWN","495","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SCREENED.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","scripts\run_v16_11_full_universe_intake.py","UNKNOWN","496","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SELECTED_FOR_EXECUTION.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","scripts\run_v16_11_full_universe_intake.py","UNKNOWN","497","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_TOP_REVIEW.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","scripts\run_v16_11b_second_stage_screen.py","UNKNOWN","272","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SECOND_STAGE.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","scripts\run_v16_11b_second_stage_screen.py","UNKNOWN","273","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_SECOND_STAGE_TOP_CANDIDATES.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","scripts\run_v16_11b_second_stage_screen.py","UNKNOWN","274","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\universe\\V16_SECOND_STAGE_WATCHLIST.csv`"")"
"scripts\run_v16_11c_full_candidate_review.py","scripts\run_v16_11c_full_candidate_review.py","UNKNOWN","266","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.csv`"")"
"scripts\run_v16_11c_full_candidate_review.py","scripts\run_v16_11c_full_candidate_review.py","UNKNOWN","267","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.md`"")"
"scripts\run_v16_11d_full_candidate_event_workflow.py","scripts\run_v16_11d_full_candidate_event_workflow.py","UNKNOWN","233","V16_TEXT_REFERENCE","TEXT_REFERENCE_REVIEW_LOW_PRIORITY","LOW","REVIEW_FIRST","Manual review.","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.md`"")"
