path,reference_role_guess,notes
scripts/v18/v18_14C_R1_stable_snapshot.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_14C_ranked_candidate_forward_tracker.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_14D_R1_stable_snapshot.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_15A_manual_position_trade_feedback.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_15A_R1_stable_snapshot.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_15B_R1_stable_snapshot.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_15C_predevelopment_program_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_16A_universe_rolling_state_builder.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_16J_conservative_daily_threshold_patch.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_17A_ranking_factor_provenance_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_19A_daily_readability_refactor.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_21A_R4_advisory_full_history_backfill_plan.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R21_daily_signal_freeze_forward_test_ledger.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R22_rolling_multi_run_continuation_scheduler.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R24_factor_technical_tier_refresh_readiness_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R25F_safe_downstream_refresh_ranked_candidate_regeneration.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R25G_promote_ranked_candidates_preview_to_current.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R26B_forward_return_filler_readiness_audit.py,FULL_SET_EXPECTED,Context contains full/freeze/candidate-count language.
scripts/v18/v18_25A_R27E_post_integration_downstream_readiness_audit.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
scripts/v18/v18_25A_R27F_build_staged_factor_technical_rows_tln_rddt.py,UNKNOWN_SCRIPT_REFERENCE,Script reference needs manual review before patching.
