"file","line","pattern","dependency_class","text"
"scripts\run_v16_11_full_universe_intake.py","494","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_RAW.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","495","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SCREENED.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","496","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SELECTED_FOR_EXECUTION.csv`"")"
"scripts\run_v16_11_full_universe_intake.py","497","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_TOP_REVIEW.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","272","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_FULL_UNIVERSE_SECOND_STAGE.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","273","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_SECOND_STAGE_TOP_CANDIDATES.csv`"")"
"scripts\run_v16_11b_second_stage_screen.py","274","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\universe\\V16_SECOND_STAGE_WATCHLIST.csv`"")"
"scripts\run_v16_11c_full_candidate_review.py","266","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.csv`"")"
"scripts\run_v16_11c_full_candidate_review.py","267","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.md`"")"
"scripts\run_v16_11d_full_candidate_event_workflow.py","233","outputs\\v16","UNKNOWN","lines.append(""- `outputs\\v16\\review\\V16_FULL_CANDIDATE_REVIEW.md`"")"
"scripts\run_v17_7B_universe_semantic_audit.ps1","11","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$OutCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
