"file","line","pattern","dependency_class","text"
"scripts\run_v17_7B_universe_semantic_audit.ps1","12","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SummaryMd = Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_7B_universe_semantic_audit.ps1","13","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","15","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticAudit = Join-Path $Root ""scripts\run_v17_7B_universe_semantic_audit.ps1"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","86","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticExit = Run-Step -Name ""V17_7B_UNIVERSE_SEMANTIC_AUDIT"" -ScriptPath $SemanticAudit -Required $true"
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","91","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","93","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticSummary = Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1","94","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","17","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticAudit = Join-Path $Root ""scripts\run_v17_7B_universe_semantic_audit.ps1"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","152","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticExit = Run-NormalStep -Name ""V17_7B_UNIVERSE_SEMANTIC_AUDIT"" -ScriptPath $SemanticAudit"
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","158","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticReadFirst = Join-Path $OutDir ""V17_7B_READ_FIRST.txt"""
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","308","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Md.Add(""- Universe semantic audit: "" + (Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md""))"
"scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1","342","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Rf += (Join-Path $OutDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"")"
"scripts\run_v17_7D_main_compute_delta_audit.ps1","12","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$CurrentSemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7E_removed_main_compute_inspection.ps1","13","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1","13","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$SemanticCsv = Join-Path $OutDir ""v17_7B_universe_semantic_audit.csv"""
"scripts\run_v17_7G_R1_manual_daily_dynamic_raw105.ps1","25","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Semantic = Join-Path $AuditDir ""V17_7B_UNIVERSE_SEMANTIC_AUDIT.md"""
"scripts\run_v17_8A_raw105_full_decision_daily.py","17","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","SEMANTIC_PATH = ROOT / ""outputs"" / ""v17"" / ""raw_universe_audit"" / ""v17_7B_universe_semantic_audit.csv"""
"scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","14","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Py3A = ""$Root\src\v18\factor_lab\run_v18_3A_factor_shadow_daily.py"""
"scripts\v18\run_v18_3C_factor_shadow_daily_wrapper.ps1","39","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""$Root\outputs\v18\factor_shadow\V18_3A_READ_FIRST.txt"","
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","17","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ShadowCsv = ""$OutDir\V18_3A_FACTOR_SHADOW_DAILY_CURRENT.csv"""
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","77","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""$OutDir\V18_3A_READ_FIRST.txt"","
"scripts\v18\run_v18_3C_R1_factor_shadow_daily_quiet.ps1","131","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Py3A = ""$Root\src\v18\factor_lab\run_v18_3A_factor_shadow_daily.py"""
"scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","5","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$PyScript = Join-Path $Root ""scripts\v18\v18_3D_factor_pack_shadow_extension.py"""
"scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1","6","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ReadFirst = Join-Path $Root ""outputs\v18\factor_pack\V18_3D_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","9","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ReadFirst = ""$OutDir\V18_3D_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","11","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$OfficialLog = ""$OpsDir\V18_3D_official_v17_8D_$Stamp.log"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","12","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ShadowLog = ""$OpsDir\V18_3D_shadow_v18_$Stamp.log"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","24","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$ShadowCsv = ""$Root\outputs\v18\factor_shadow\V18_3A_FACTOR_SHADOW_DAILY_CURRENT.csv"""
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","98","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3D_STATUS: OK_OFFICIAL_PLUS_SHADOW_DAILY_READY"","
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","133","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""powershell -NoProfile -ExecutionPolicy Bypass -File """"D:\us-tech-quant\scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1"""""","
"scripts\v18\run_v18_3D_official_plus_shadow_daily.ps1","142","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","Write-Host ""V18_3D_STATUS: OK_OFFICIAL_PLUS_SHADOW_DAILY_READY"""
"scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","5","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$UpstreamPs = Join-Path $Root ""scripts\v18\run_v18_3D_factor_pack_shadow_extension.ps1"""
"scripts\v18\run_v18_3D_R1_official_overlap_fix.ps1","6","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$FixPy = Join-Path $Root ""scripts\v18\v18_3D_R1_official_overlap_fix.py"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","11","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$Upstream = Join-Path $ScriptDir ""run_v18_3D_R1_official_overlap_fix.ps1"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","12","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$UpstreamLog = Join-Path $OpsDir ""V18_3D_R2_upstream_R1_run.log"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","14","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1Read = Join-Path $OutDir ""V18_3D_R1_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","15","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1Top30 = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_TOP30.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","16","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1OverlapMd = Join-Path $OutDir ""V18_3D_R1_FACTOR_PACK_OFFICIAL_OVERLAP.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","17","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1OverlapCsv = Join-Path $OutDir ""V18_3D_R1_SHADOW_TOP30_OFFICIAL_OVERLAP.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","18","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1RankingCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","18","V18_3D_RAW105_FACTOR_PACK_RANKING","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1RankingCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","19","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1ValuesCsv = Join-Path $OutDir ""V18_3D_RAW105_FACTOR_PACK_VALUES.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","21","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2Read = Join-Path $OutDir ""V18_3D_R2_READ_FIRST.txt"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","22","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2Top30 = Join-Path $OutDir ""V18_3D_R2_CURRENT_FACTOR_PACK_TOP30.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","23","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2OverlapMd = Join-Path $OutDir ""V18_3D_R2_CURRENT_FACTOR_PACK_OFFICIAL_OVERLAP.md"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","24","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2OverlapCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_SHADOW_TOP30_OFFICIAL_OVERLAP.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","25","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2RankingCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","26","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R2ValuesCsv = Join-Path $OutDir ""V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_VALUES.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","31","V18_CURRENT_RAW105_FACTOR_PACK_RANKING","UNKNOWN","$GlobalRankingCsv = Join-Path $OutDir ""V18_CURRENT_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","75","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","Write-Host ""V18_3D_R2_STATUS: FAIL_UPSTREAM_R1"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","82","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","Write-Host ""V18_3D_R2_STATUS: FAIL_MISSING_R1_READ_FIRST"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","89","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$R1Status = Get-LineValue $R1Text ""V18_3D_R1_STATUS"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","92","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","Write-Host ""V18_3D_R2_STATUS: FAIL_R1_NOT_OK"""
"scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1","127","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3D_R2_STATUS: OK_FACTOR_PACK_CURRENT_ONLY_READY"","
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","73","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","(Join-Path $Root ""scripts\v18\run_v18_3D_R2_factor_pack_current_only_daily.ps1"")"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","78","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$PackLog = Join-Path $OpsDir (""V18_3E_R2_step3_v18_3D_R2_factor_pack_"" + $Stamp + "".log"")"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","105","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","(Join-Path $Root ""outputs\v18\factor_pack\V18_3D_R2_READ_FIRST.txt""),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","124","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$PackStatus = GetKey $PackText ""V18_3D_R2_STATUS"""
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","167","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","(""V18_3D_R2_STATUS: "" + $PackStatus),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","170","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","(""V18_3D_R2_OVERLAP_COUNT: "" + $PackOverlapCount),"
"scripts\v18\run_v18_3E_daily_cockpit_wrapper.ps1","171","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","(""V18_3D_R2_OVERLAP_NAMES: "" + $PackOverlapNames),"
"scripts\v18\run_v18_4B_R1_final_daily_wrapper.ps1","89","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","$GlobalMd = Join-Path $OutDir ""V18_CURRENT_FINAL_DAILY.md"""
"scripts\v18\run_v18_4G_R1_final_daily_factor_audit_wrapper.ps1","24","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","$CurrentFinal = Join-Path $OutDir ""V18_CURRENT_FINAL_DAILY.md"""
"scripts\v18\run_v18_4G_R2_stable_snapshot.ps1","221","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","$ReadFiles += (Join-Path $Root ""outputs\v18\daily_integrated\V18_CURRENT_FINAL_DAILY.md"")"
"scripts\v18\run_v18_4I_R1_final_daily_promotion_merge_wrapper.ps1","22","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","$IntegratedCurrent = Join-Path $DailyOutDir ""V18_CURRENT_FINAL_DAILY_PROMOTION_MERGE.md"""
"scripts\v18\run_v18_4J_R1_final_daily_read_center_wrapper.ps1","17","V18_CURRENT_READ_FIRST","CURRENT_OUTPUT_REFERENCE","$CurrentReadFirst = Join-Path $ReadCenterDir ""V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_R2_stable_snapshot.ps1","187","V18_CURRENT_READ_FIRST","CURRENT_OUTPUT_REFERENCE","$ReadmeLines += ""D:\us-tech-quant\outputs\v18\read_center\V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_read_center_cleanup.ps1","15","V18_CURRENT_READ_FIRST","CURRENT_OUTPUT_REFERENCE","$CurrentReadFirst = Join-Path $ReadCenterDir ""V18_CURRENT_READ_FIRST.md"""
"scripts\v18\run_v18_4J_read_center_cleanup.ps1","19","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","$FinalDailyPromotion = Join-Path $Root ""outputs\v18\daily_integrated\V18_CURRENT_FINAL_DAILY_PROMOTION_MERGE.md"""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","21","outputs\\v16","UNKNOWN","""outputs\\v16"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","22","outputs\\v17","UNKNOWN","""outputs\\v17"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","23","outputs\\v18\\factor_lab","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""outputs\\v18\\factor_lab"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","24","outputs\\v18\\factor_shadow","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""outputs\\v18\\factor_shadow"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","25","outputs\\v18\\factor_validation","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""outputs\\v18\\factor_validation"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","26","outputs\\v18\\manifests","UNKNOWN","""outputs\\v18\\manifests"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","27","outputs\\v18\\cockpit","UNKNOWN","""outputs\\v18\\cockpit"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","28","outputs\\v18\\daily","UNKNOWN","""outputs\\v18\\daily"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","29","data\\prices","UNKNOWN","""data\\prices"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","30","data\\events","UNKNOWN","""data\\events"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","31","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V17_7B"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","32","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3A"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","33","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3D"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","34","V18_CURRENT_RAW105_FACTOR_PACK_RANKING","UNKNOWN","""V18_CURRENT_RAW105_FACTOR_PACK_RANKING"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","35","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3D_RAW105_FACTOR_PACK_RANKING"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","35","V18_3D_RAW105_FACTOR_PACK_RANKING","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","""V18_3D_RAW105_FACTOR_PACK_RANKING"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","36","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","""V18_CURRENT_FINAL_DAILY"","
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","37","V18_CURRENT_READ_FIRST","CURRENT_OUTPUT_REFERENCE","""V18_CURRENT_READ_FIRST"""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","data\\events","UNKNOWN","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","data\\prices","UNKNOWN","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","outputs\\v16","UNKNOWN","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","outputs\\v17","UNKNOWN","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","V17_7B","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","V18_3A","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","76","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","if ($Pattern -match ""outputs\\v16|outputs\\v17|factor_lab|factor_shadow|factor_validation|data\\prices|data\\events|V17_7B|V18_3A|V18_3D"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","80","V18_CURRENT_FINAL_DAILY","CURRENT_OUTPUT_REFERENCE","if ($Pattern -match ""V18_CURRENT_READ_FIRST|V18_CURRENT_FINAL_DAILY"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","80","V18_CURRENT_READ_FIRST","CURRENT_OUTPUT_REFERENCE","if ($Pattern -match ""V18_CURRENT_READ_FIRST|V18_CURRENT_FINAL_DAILY"") {"
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","160","data\\events","UNKNOWN","$LinesOut += ""Do not delete outputs\\v16, outputs\\v17, outputs\\v18\\factor_lab, factor_shadow, factor_validation, data\\prices, or data\\events until this audit shows zero runtime references."""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","160","data\\prices","UNKNOWN","$LinesOut += ""Do not delete outputs\\v16, outputs\\v17, outputs\\v18\\factor_lab, factor_shadow, factor_validation, data\\prices, or data\\events until this audit shows zero runtime references."""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","160","outputs\\v16","UNKNOWN","$LinesOut += ""Do not delete outputs\\v16, outputs\\v17, outputs\\v18\\factor_lab, factor_shadow, factor_validation, data\\prices, or data\\events until this audit shows zero runtime references."""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","160","outputs\\v17","UNKNOWN","$LinesOut += ""Do not delete outputs\\v16, outputs\\v17, outputs\\v18\\factor_lab, factor_shadow, factor_validation, data\\prices, or data\\events until this audit shows zero runtime references."""
"scripts\v18\run_v18_5A_runtime_decoupling_audit.ps1","160","outputs\\v18\\factor_lab","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","$LinesOut += ""Do not delete outputs\\v16, outputs\\v17, outputs\\v18\\factor_lab, factor_shadow, factor_validation, data\\prices, or data\\events until this audit shows zero runtime references."""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","31","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","READ_FIRST = OUT_DIR / ""V18_3D_READ_FIRST.txt"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","32","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","VALUES_CSV = OUT_DIR / ""V18_3D_RAW105_FACTOR_PACK_VALUES.csv"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","33","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","RANKING_CSV = OUT_DIR / ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","33","V18_3D_RAW105_FACTOR_PACK_RANKING","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","RANKING_CSV = OUT_DIR / ""V18_3D_RAW105_FACTOR_PACK_RANKING.csv"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","34","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","TOP30_MD = OUT_DIR / ""V18_3D_FACTOR_PACK_TOP30.md"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","35","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","OVERLAP_MD = OUT_DIR / ""V18_3D_FACTOR_PACK_OFFICIAL_OVERLAP.md"""
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","521","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","- V18_3D_STATUS: `OK_FACTOR_PACK_SHADOW_READY`"
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","557","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","- V18_3D_STATUS: `OK_FACTOR_PACK_SHADOW_READY`"
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","581","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","V18_3D_STATUS: OK_FACTOR_PACK_SHADOW_READY"
"scripts\v18\v18_3D_factor_pack_shadow_extension.py","632","V18_3D","LEGACY_RUNTIME_DEPENDENCY_CANDIDATE","V18_3D_STATUS: FAIL"
