path,relative_path,directory_group,file_size_bytes,file_size_mb,modified_time,extension,family_key,is_current_alias,is_source_code,is_state_file,is_manual_file,is_price_cache_file,is_provider_cache_file,is_stable_snapshot_file,is_temp_file,is_log_file,is_pycache_file,keep_reason,delete_candidate,delete_reason,delete_risk_level
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1,scripts/run_v16_daily_auto_update.ps1,scripts,7258,0.007,2026-05-17T21:52:55,.ps1,scripts::run_v16_daily_auto_update.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts,1154,0.001,2026-05-17T21:14:08,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_legacy_dir_skeleton_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts,1626,0.002,2026-05-17T21:25:44,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_recursion_fix_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts,4698,0.004,2026-05-17T21:37:43,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts,6683,0.006,2026-05-17T21:40:52,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_screened_count_fix_r2_corrected_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts,6936,0.007,2026-05-17T21:42:30,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_yaml_format_fix_r3_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts,7187,0.007,2026-05-17T21:49:06,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_yaml_no_bom_permanent_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_auto_update.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts/run_v16_daily_auto_update.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts,7236,0.007,2026-05-17T21:46:37,.bak,scripts::run_v16_daily_auto_update.ps1.before_v18_yaml_parser_exact_fix_r4_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1,scripts/run_v16_daily_full_universe.ps1,scripts,7258,0.007,2026-05-17T21:52:55,.ps1,scripts::run_v16_daily_full_universe.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_legacy_dir_skeleton_20260517_212544.bak,scripts,1162,0.001,2026-05-17T21:14:08,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_legacy_dir_skeleton_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_recursion_fix_20260517_213743.bak,scripts,1626,0.002,2026-05-17T21:25:44,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_recursion_fix_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_20260517_214052.bak,scripts,4698,0.004,2026-05-17T21:37:43,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_R2_corrected_20260517_214230.bak,scripts,6683,0.006,2026-05-17T21:40:52,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_screened_count_fix_r2_corrected_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_format_fix_R3_20260517_214637.bak,scripts,6936,0.007,2026-05-17T21:42:30,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_yaml_format_fix_r3_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_no_bom_permanent_20260517_215255.bak,scripts,7187,0.007,2026-05-17T21:49:06,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_yaml_no_bom_permanent_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v16_daily_full_universe.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts/run_v16_daily_full_universe.ps1.before_v18_yaml_parser_exact_fix_R4_20260517_214906.bak,scripts,7236,0.007,2026-05-17T21:46:37,.bak,scripts::run_v16_daily_full_universe.ps1.before_v18_yaml_parser_exact_fix_r4_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_1_1_factor_effectiveness_tracker.ps1,scripts/run_v17_1_1_factor_effectiveness_tracker.ps1,scripts,1121,0.001,2026-05-11T14:46:21,.ps1,scripts::run_v17_1_1_factor_effectiveness_tracker.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_1_1_factor_effectiveness_tracker.py,scripts/run_v17_1_1_factor_effectiveness_tracker.py,scripts,39174,0.037,2026-05-11T14:46:21,.py,scripts::run_v17_1_1_factor_effectiveness_tracker.py,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_1_factor_effectiveness_tracker.ps1,scripts/run_v17_1_factor_effectiveness_tracker.ps1,scripts,1109,0.001,2026-05-11T14:00:01,.ps1,scripts::run_v17_1_factor_effectiveness_tracker.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_1_factor_effectiveness_tracker.py,scripts/run_v17_1_factor_effectiveness_tracker.py,scripts,28252,0.027,2026-05-11T14:00:01,.py,scripts::run_v17_1_factor_effectiveness_tracker.py,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.ps1,scripts/run_v17_6E_screened_universe_latest_price_audit.ps1,scripts,948,0.001,2026-05-12T16:09:49,.ps1,scripts::run_v17_6e_screened_universe_latest_price_audit.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6E_screened_universe_latest_price_audit.py,scripts/run_v17_6E_screened_universe_latest_price_audit.py,scripts,10502,0.010,2026-05-12T16:09:49,.py,scripts::run_v17_6e_screened_universe_latest_price_audit.py,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1,scripts/run_v17_6F_manual_daily_full_universe_latest_price.ps1,scripts,11470,0.011,2026-05-13T15:55:36,.ps1,scripts::run_v17_6f_manual_daily_full_universe_latest_price.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6F_manual_daily_full_universe_latest_price.ps1.before_v17_6H_R2_health_compat_merge_20260512_214243.bak,scripts/run_v17_6F_manual_daily_full_universe_latest_price.ps1.before_v17_6H_R2_health_compat_merge_20260512_214243.bak,scripts,10011,0.010,2026-05-12T16:23:59,.bak,scripts::run_v17_6f_manual_daily_full_universe_latest_price.ps1.before_v17_6h_r2_health_compat_merge_timestamp.bak,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6G_B_legacy_health_compat_preflight.ps1,scripts/run_v17_6G_B_legacy_health_compat_preflight.ps1,scripts,2201,0.002,2026-05-12T16:42:46,.ps1,scripts::run_v17_6g_b_legacy_health_compat_preflight.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_6G_B_manual_daily_with_health_compat.ps1,scripts/run_v17_6G_B_manual_daily_with_health_compat.ps1,scripts,1996,0.002,2026-05-12T16:42:46,.ps1,scripts::run_v17_6g_b_manual_daily_with_health_compat.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7B_universe_semantic_audit.ps1,scripts/run_v17_7B_universe_semantic_audit.ps1,scripts,8354,0.008,2026-05-12T22:28:56,.ps1,scripts::run_v17_7b_universe_semantic_audit.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7C_manual_daily_with_raw_universe_audit.ps1,scripts/run_v17_7C_manual_daily_with_raw_universe_audit.ps1,scripts,7891,0.008,2026-05-12T22:30:27,.ps1,scripts::run_v17_7c_manual_daily_with_raw_universe_audit.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7C_R1_manual_daily_with_raw105_audit.ps1,scripts/run_v17_7C_R1_manual_daily_with_raw105_audit.ps1,scripts,14289,0.014,2026-05-12T22:50:47,.ps1,scripts::run_v17_7c_r1_manual_daily_with_raw105_audit.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7D_main_compute_delta_audit.ps1,scripts/run_v17_7D_main_compute_delta_audit.ps1,scripts,13095,0.012,2026-05-12T22:33:40,.ps1,scripts::run_v17_7d_main_compute_delta_audit.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7E_removed_main_compute_inspection.ps1,scripts/run_v17_7E_removed_main_compute_inspection.ps1,scripts,7632,0.007,2026-05-12T22:35:15,.ps1,scripts::run_v17_7e_removed_main_compute_inspection.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7F_B_raw105_price_freshness_acceptance.ps1,scripts/run_v17_7F_B_raw105_price_freshness_acceptance.ps1,scripts,8016,0.008,2026-05-12T22:45:03,.ps1,scripts::run_v17_7f_b_raw105_price_freshness_acceptance.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.ps1,scripts/run_v17_7F_raw105_latest_price_refresh.ps1,scripts,944,0.001,2026-05-12T22:37:43,.ps1,scripts::run_v17_7f_raw105_latest_price_refresh.ps1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
D:\us-tech-quant\scripts\run_v17_7F_raw105_latest_price_refresh.py,scripts/run_v17_7F_raw105_latest_price_refresh.py,scripts,10683,0.010,2026-05-12T22:37:43,.py,scripts::run_v17_7f_raw105_latest_price_refresh.py,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PROTECTED_SOURCE_CODE,FALSE,,PROTECTED
